rank,feature_id,rank_by,rank_score,active_ratio,mean_activation,std_activation
1,2486,active_ratio,1.0,1.0,52.41215515136719,2.138942241668701
2,9615,active_ratio,1.0,1.0,3.063385486602783,1.651681661605835
3,4797,active_ratio,1.0,1.0,2.2830259799957275,0.6125494241714478
4,2058,active_ratio,1.0,1.0,1.8995957374572754,0.9182175993919373
5,2780,active_ratio,1.0,1.0,1.8819345235824585,0.5168584585189819
6,6741,active_ratio,1.0,1.0,1.5409468412399292,0.5985097885131836
7,435,active_ratio,1.0,1.0,1.521572470664978,0.7156816124916077
8,4476,active_ratio,1.0,1.0,1.5163956880569458,0.9138943552970886
9,2514,active_ratio,1.0,1.0,1.4819188117980957,0.7478766441345215
10,8036,active_ratio,1.0,1.0,1.455230712890625,0.5380614995956421
11,44,active_ratio,1.0,1.0,1.427536129951477,0.7215719819068909
12,8762,active_ratio,1.0,1.0,1.3834776878356934,0.6922835111618042
13,6954,active_ratio,1.0,1.0,1.3696058988571167,0.782204806804657
14,2187,active_ratio,1.0,1.0,1.3240429162979126,0.557938277721405
15,7080,active_ratio,1.0,1.0,1.2722766399383545,0.5857898592948914
16,5274,active_ratio,1.0,1.0,1.2585363388061523,0.9836533069610596
17,8413,active_ratio,1.0,1.0,1.2529925107955933,0.4815273582935333
18,7220,active_ratio,1.0,1.0,1.238376498222351,0.6436178684234619
19,2523,active_ratio,1.0,1.0,1.197752833366394,0.6337602734565735
20,8530,active_ratio,1.0,1.0,1.1244916915893555,0.4904875159263611
21,1578,active_ratio,1.0,1.0,1.1206073760986328,0.4775542616844177
22,908,active_ratio,1.0,1.0,1.1173430681228638,0.47321245074272156
23,8265,active_ratio,1.0,1.0,1.086524486541748,0.5408389568328857
24,7665,active_ratio,1.0,1.0,1.0673998594284058,0.5444008708000183
25,3548,active_ratio,1.0,1.0,1.022593379020691,0.4867328405380249
26,8054,active_ratio,1.0,1.0,1.020390510559082,0.43673625588417053
27,8384,active_ratio,1.0,1.0,0.9942449331283569,0.5385627746582031
28,7423,active_ratio,1.0,1.0,0.9440253973007202,0.46152839064598083
29,8981,active_ratio,1.0,1.0,0.9427027702331543,0.49578773975372314
30,5467,active_ratio,1.0,1.0,0.9087303876876831,0.5134645700454712
31,9561,active_ratio,1.0,1.0,0.8852823376655579,0.602834939956665
32,5649,active_ratio,1.0,1.0,0.8848125338554382,0.5552331209182739
33,3263,active_ratio,1.0,1.0,0.8775600790977478,0.4694507420063019
34,4733,active_ratio,1.0,1.0,0.8771138191223145,0.4212813079357147
35,5448,active_ratio,1.0,1.0,0.8757380247116089,0.2671736478805542
36,6558,active_ratio,1.0,1.0,0.8638979196548462,0.44138574600219727
37,5853,active_ratio,1.0,1.0,0.8577050566673279,0.41934898495674133
38,1098,active_ratio,1.0,1.0,0.8335381150245667,0.5309856534004211
39,1099,active_ratio,1.0,1.0,0.8324191570281982,0.3938197195529938
40,8096,active_ratio,1.0,1.0,0.8179022669792175,0.43156716227531433
41,8887,active_ratio,1.0,1.0,0.8046402931213379,0.4970470368862152
42,4878,active_ratio,1.0,1.0,0.8045491576194763,0.5019922852516174
43,63,active_ratio,1.0,1.0,0.8044340014457703,0.39443930983543396
44,8672,active_ratio,1.0,1.0,0.8031640648841858,0.4667579233646393
45,2394,active_ratio,1.0,1.0,0.797004222869873,0.44014811515808105
46,541,active_ratio,1.0,1.0,0.760093629360199,0.3192867040634155
47,3037,active_ratio,1.0,1.0,0.7090653777122498,0.48869025707244873
48,10182,active_ratio,1.0,1.0,0.7001078128814697,0.4449065625667572
49,9068,active_ratio,1.0,1.0,0.6917086839675903,0.4690631031990051
50,8640,active_ratio,1.0,1.0,0.6856639981269836,0.43778151273727417
51,2502,active_ratio,1.0,1.0,0.674625039100647,0.39685294032096863
52,4153,active_ratio,1.0,1.0,0.670188844203949,0.2943609654903412
53,3862,active_ratio,1.0,1.0,0.664514422416687,0.413173109292984
54,2588,active_ratio,1.0,1.0,0.6612827181816101,0.6091356873512268
55,3216,active_ratio,1.0,1.0,0.6524945497512817,0.3733813464641571
56,927,active_ratio,1.0,1.0,0.6496148705482483,0.5235869288444519
57,4659,active_ratio,1.0,1.0,0.6358808279037476,0.4518771171569824
58,8972,active_ratio,1.0,1.0,0.6358756422996521,0.3508800268173218
59,264,active_ratio,1.0,1.0,0.623115062713623,0.454858660697937
60,7305,active_ratio,1.0,1.0,0.6070624589920044,0.32080596685409546
61,1413,active_ratio,1.0,1.0,0.5805412530899048,0.3721311092376709
62,9371,active_ratio,1.0,1.0,0.5801655650138855,0.3935808837413788
63,9843,active_ratio,1.0,1.0,0.5440182089805603,0.3244289755821228
64,7293,active_ratio,1.0,1.0,0.45767804980278015,0.2703166902065277
65,7916,active_ratio,1.0,1.0,0.4565153419971466,0.29433345794677734
66,176,active_ratio,1.0,1.0,0.45480623841285706,0.3010455369949341
67,1169,active_ratio,1.0,1.0,0.42993414402008057,0.46204322576522827
68,4608,active_ratio,1.0,1.0,0.4171668291091919,0.2954034209251404
69,2575,active_ratio,1.0,1.0,0.4120590388774872,0.34689438343048096
70,9201,active_ratio,1.0,1.0,0.3603534996509552,0.27147385478019714
71,8918,active_ratio,1.0,1.0,0.28684231638908386,0.2916150689125061
72,4983,active_ratio,1.0,1.0,0.20086431503295898,0.0837668776512146
73,1324,active_ratio,1.0,1.0,0.0907963290810585,0.04674306884407997
74,1495,active_ratio,0.9990000128746033,0.9990000128746033,1.4772863388061523,0.8483826518058777
75,6633,active_ratio,0.9990000128746033,0.9990000128746033,1.3167370557785034,0.63700270652771
76,6374,active_ratio,0.9990000128746033,0.9990000128746033,1.2203128337860107,0.6697941422462463
77,8857,active_ratio,0.9990000128746033,0.9990000128746033,1.050339937210083,0.7619593143463135
78,2178,active_ratio,0.9990000128746033,0.9990000128746033,1.0029902458190918,0.5427274107933044
79,3288,active_ratio,0.9990000128746033,0.9990000128746033,0.9499270915985107,0.541245698928833
80,7474,active_ratio,0.9990000128746033,0.9990000128746033,0.8808709979057312,0.6761505603790283
81,8712,active_ratio,0.9990000128746033,0.9990000128746033,0.8518376350402832,0.5306007862091064
82,3798,active_ratio,0.9990000128746033,0.9990000128746033,0.7745653390884399,0.6275113821029663
83,7346,active_ratio,0.9990000128746033,0.9990000128746033,0.7271806001663208,0.42797866463661194
84,4002,active_ratio,0.9990000128746033,0.9990000128746033,0.7161325812339783,0.5193415284156799
85,869,active_ratio,0.9990000128746033,0.9990000128746033,0.5561535358428955,0.4229929447174072
86,5555,active_ratio,0.9990000128746033,0.9990000128746033,0.5436607599258423,0.45551466941833496
87,1044,active_ratio,0.9990000128746033,0.9990000128746033,0.5241325497627258,0.39398193359375
88,7183,active_ratio,0.9990000128746033,0.9990000128746033,0.5135785937309265,0.32068803906440735
89,5506,active_ratio,0.9990000128746033,0.9990000128746033,0.4587211310863495,0.30525901913642883
90,4122,active_ratio,0.9990000128746033,0.9990000128746033,0.4228780269622803,0.3403112590312958
91,3884,active_ratio,0.9990000128746033,0.9990000128746033,0.3993757665157318,0.28188422322273254
92,7839,active_ratio,0.9990000128746033,0.9990000128746033,0.3507593870162964,0.22870434820652008
93,4761,active_ratio,0.9990000128746033,0.9990000128746033,0.30709415674209595,0.20385678112506866
94,7092,active_ratio,0.9980000257492065,0.9980000257492065,1.613603115081787,1.2575381994247437
95,6848,active_ratio,0.9980000257492065,0.9980000257492065,1.2451459169387817,0.902482807636261
96,4925,active_ratio,0.9980000257492065,0.9980000257492065,0.9295147657394409,0.5831672549247742
97,2484,active_ratio,0.9980000257492065,0.9980000257492065,0.9100300073623657,0.5535786747932434
98,9567,active_ratio,0.9980000257492065,0.9980000257492065,0.8499578237533569,0.5416852235794067
99,785,active_ratio,0.9980000257492065,0.9980000257492065,0.7839006781578064,0.5919902920722961
100,8119,active_ratio,0.9980000257492065,0.9980000257492065,0.7031664848327637,0.5482943654060364
101,975,active_ratio,0.9980000257492065,0.9980000257492065,0.6931820511817932,0.5086572766304016
102,5178,active_ratio,0.9980000257492065,0.9980000257492065,0.643686830997467,0.44971799850463867
103,2979,active_ratio,0.9980000257492065,0.9980000257492065,0.5408815741539001,0.3319616913795471
104,5932,active_ratio,0.9980000257492065,0.9980000257492065,0.4886886477470398,0.4093993902206421
105,9229,active_ratio,0.9980000257492065,0.9980000257492065,0.48763811588287354,0.4039033353328705
106,738,active_ratio,0.9980000257492065,0.9980000257492065,0.4618575870990753,0.3579356074333191
107,2735,active_ratio,0.9980000257492065,0.9980000257492065,0.4597705900669098,0.40326380729675293
108,670,active_ratio,0.996999979019165,0.996999979019165,0.890699565410614,0.7139814496040344
109,5304,active_ratio,0.996999979019165,0.996999979019165,0.6839480400085449,0.7497237324714661
110,5782,active_ratio,0.996999979019165,0.996999979019165,0.6213790774345398,0.42474132776260376
111,2971,active_ratio,0.996999979019165,0.996999979019165,0.5236817598342896,0.33254021406173706
112,2592,active_ratio,0.996999979019165,0.996999979019165,0.46969327330589294,0.378821462392807
113,8397,active_ratio,0.996999979019165,0.996999979019165,0.43475520610809326,0.48003870248794556
114,3622,active_ratio,0.996999979019165,0.996999979019165,0.41979193687438965,0.2752659320831299
115,8842,active_ratio,0.9959999918937683,0.9959999918937683,0.6093771457672119,0.4729532301425934
116,9343,active_ratio,0.9959999918937683,0.9959999918937683,0.4856906235218048,0.4342781901359558
117,8597,active_ratio,0.9959999918937683,0.9959999918937683,0.426946222782135,0.3812048137187958
118,7109,active_ratio,0.9959999918937683,0.9959999918937683,0.4017414152622223,0.2736101448535919
119,5678,active_ratio,0.9959999918937683,0.9959999918937683,0.32987239956855774,0.2475450038909912
120,8737,active_ratio,0.9959999918937683,0.9959999918937683,0.3083689510822296,0.21249039471149445
121,2883,active_ratio,0.9959999918937683,0.9959999918937683,0.29387399554252625,0.22342215478420258
122,9316,active_ratio,0.9950000047683716,0.9950000047683716,0.8936752676963806,0.7328293919563293
123,95,active_ratio,0.9950000047683716,0.9950000047683716,0.7883033752441406,0.5594348311424255
124,6620,active_ratio,0.9950000047683716,0.9950000047683716,0.7461494207382202,0.5968869924545288
125,5787,active_ratio,0.9950000047683716,0.9950000047683716,0.6869279146194458,0.495897114276886
126,8020,active_ratio,0.9950000047683716,0.9950000047683716,0.4300779402256012,0.32922279834747314
127,2046,active_ratio,0.9950000047683716,0.9950000047683716,0.3134109675884247,0.2450869232416153
128,5789,active_ratio,0.9950000047683716,0.9950000047683716,0.29245343804359436,0.297695517539978
129,7000,active_ratio,0.9940000176429749,0.9940000176429749,0.5727249979972839,0.5019985437393188
130,2672,active_ratio,0.9940000176429749,0.9940000176429749,0.5311407446861267,0.4773467481136322
131,5808,active_ratio,0.9940000176429749,0.9940000176429749,0.5070071816444397,0.39662113785743713
132,8136,active_ratio,0.9940000176429749,0.9940000176429749,0.38724371790885925,0.3497926890850067
133,1597,active_ratio,0.9940000176429749,0.9940000176429749,0.3635880649089813,0.27185019850730896
134,7697,active_ratio,0.9940000176429749,0.9940000176429749,0.22837433218955994,0.16261844336986542
135,9674,active_ratio,0.9940000176429749,0.9940000176429749,0.19115841388702393,0.13902752101421356
136,3837,active_ratio,0.9929999709129333,0.9929999709129333,0.43274590373039246,0.40413546562194824
137,7004,active_ratio,0.9929999709129333,0.9929999709129333,0.3297632932662964,0.24256989359855652
138,5759,active_ratio,0.9929999709129333,0.9929999709129333,0.21319697797298431,0.17734195291996002
139,843,active_ratio,0.9919999837875366,0.9919999837875366,1.7550749778747559,1.3586567640304565
140,6756,active_ratio,0.9919999837875366,0.9919999837875366,0.1812392920255661,0.14070084691047668
141,2942,active_ratio,0.9909999966621399,0.9909999966621399,0.5195425748825073,0.5617482662200928
142,6994,active_ratio,0.9909999966621399,0.9909999966621399,0.42833516001701355,0.4421994686126709
143,832,active_ratio,0.9909999966621399,0.9909999966621399,0.18676872551441193,0.15762893855571747
144,1396,active_ratio,0.9900000095367432,0.9900000095367432,0.47816750407218933,0.39899349212646484
145,8895,active_ratio,0.9900000095367432,0.9900000095367432,0.4611988961696625,0.38294005393981934
146,6891,active_ratio,0.9900000095367432,0.9900000095367432,0.33683523535728455,0.2679519057273865
147,9419,active_ratio,0.9890000224113464,0.9890000224113464,0.74017333984375,0.8722101449966431
148,2901,active_ratio,0.9890000224113464,0.9890000224113464,0.4058511555194855,0.4060239791870117
149,1191,active_ratio,0.9879999756813049,0.9879999756813049,0.587699830532074,0.53694748878479
150,8879,active_ratio,0.9879999756813049,0.9879999756813049,0.5683450698852539,0.5709308385848999
151,6722,active_ratio,0.9879999756813049,0.9879999756813049,0.4699510633945465,0.3720073699951172
152,7504,active_ratio,0.9879999756813049,0.9879999756813049,0.4670501947402954,0.3924542963504791
153,3480,active_ratio,0.9879999756813049,0.9879999756813049,0.3738883435726166,0.41654467582702637
154,3439,active_ratio,0.9879999756813049,0.9879999756813049,0.32800933718681335,0.2804676592350006
155,5382,active_ratio,0.9879999756813049,0.9879999756813049,0.2778676152229309,0.23556818068027496
156,10048,active_ratio,0.9879999756813049,0.9879999756813049,0.2416999489068985,0.2233937680721283
157,4886,active_ratio,0.9869999885559082,0.9869999885559082,0.4175443947315216,0.3700895309448242
158,1152,active_ratio,0.9869999885559082,0.9869999885559082,0.38691943883895874,0.39635545015335083
159,262,active_ratio,0.9869999885559082,0.9869999885559082,0.25317952036857605,0.25793230533599854
160,5909,active_ratio,0.9869999885559082,0.9869999885559082,0.21912020444869995,0.17815767228603363
161,1376,active_ratio,0.9860000014305115,0.9860000014305115,0.545524537563324,0.4899091422557831
162,2899,active_ratio,0.9860000014305115,0.9860000014305115,0.4415556788444519,0.3828640580177307
163,6957,active_ratio,0.9860000014305115,0.9860000014305115,0.3263404369354248,0.2944560647010803
164,7008,active_ratio,0.9850000143051147,0.9850000143051147,0.4081626832485199,0.3591144382953644
165,3647,active_ratio,0.9850000143051147,0.9850000143051147,0.3035251498222351,0.2875339984893799
166,4510,active_ratio,0.9850000143051147,0.9850000143051147,0.2789815068244934,0.2610273063182831
167,9784,active_ratio,0.9850000143051147,0.9850000143051147,0.2736341953277588,0.23787735402584076
168,4789,active_ratio,0.9850000143051147,0.9850000143051147,0.2004399597644806,0.17157579958438873
169,7331,active_ratio,0.984000027179718,0.984000027179718,0.5208956003189087,0.5404883623123169
170,2996,active_ratio,0.984000027179718,0.984000027179718,0.3067466616630554,0.3044692277908325
171,6563,active_ratio,0.984000027179718,0.984000027179718,0.2636488974094391,0.26225546002388
172,7595,active_ratio,0.9829999804496765,0.9829999804496765,0.5075181126594543,0.5223014950752258
173,5351,active_ratio,0.9829999804496765,0.9829999804496765,0.3631032705307007,0.351535439491272
174,7233,active_ratio,0.9829999804496765,0.9829999804496765,0.3332100510597229,0.33099570870399475
175,4384,active_ratio,0.9829999804496765,0.9829999804496765,0.3081550896167755,0.26609599590301514
176,4323,active_ratio,0.9829999804496765,0.9829999804496765,0.2741037607192993,0.30385494232177734
