feature_id,taris_score,saeuron_score,taris_rank,saeuron_rank,rank_delta_saeuron_minus_taris
0,0.0,0.0,8673,7964,-709
1,-9.124108828473254e-07,-0.02856401726603508,9502,9698,196
2,0.0,0.0,6653,8076,1423
3,0.0005878233350813389,0.3310421407222748,34,1085,1051
4,0.0,0.0,6654,8090,1436
5,0.0,0.0,6655,8095,1440
6,1.3156595741747878e-05,0.21753478050231934,506,1156,650
7,0.0,0.0,6656,8096,1440
8,0.0,0.0,6657,8051,1394
9,0.0,0.0,6658,8039,1381
10,0.0,0.0,6659,8044,1385
11,0.0,0.0,6660,8066,1406
12,3.767661951314949e-07,47.54638671875,1059,715,-344
13,0.0,0.0,6652,8142,1490
14,0.0,0.0,6662,8148,1486
15,2.8924735033797333e-06,366.3634948730469,678,199,-479
16,0.001240680692717433,1.0354359149932861,14,917,903
17,0.0,0.0,6663,8157,1494
18,5.36347106390167e-05,0.3581100106239319,324,1074,750
19,0.0,0.0,6664,8159,1495
20,0.0,0.0,6665,8162,1497
21,0.0,0.0,6666,8111,1445
22,0.0,0.0,6667,8119,1452
23,0.0,0.0,6668,8125,1457
24,0.0,0.0,6643,7945,1302
25,0.0,0.0,6635,7962,1327
26,-2.850725195457926e-06,0.19248002767562866,9630,1176,-8454
27,0.0,0.0,6636,7965,1329
28,0.0,0.0,6637,7969,1332
29,0.0,0.0,6638,7904,1266
30,0.0,0.0,6639,7911,1272
31,0.00013462986680679023,0.516682505607605,194,1019,825
32,0.0,0.0,6640,7905,1265
33,0.0,0.0,6641,7926,1285
34,0.0,0.0,6642,7929,1287
35,-6.607401155633852e-05,-0.13041234016418457,9980,9989,9
36,0.0,0.0,6634,7931,1297
37,0.0,0.0,6644,7933,1289
38,0.0,0.0,6645,7934,1289
39,0.0,0.0,6646,8010,1364
40,0.0,0.0,6647,8014,1367
41,0.0,0.0,6648,8027,1379
42,0.0,0.0,6649,7970,1321
43,0.0,0.0,6650,7978,1328
44,0.0,0.0,6651,7999,1348
45,9.830309863900766e-05,0.3069137632846832,232,1101,869
46,0.0,0.0,6661,8002,1341
47,0.0,0.0,6688,8346,1658
48,0.0,0.0,6689,8338,1649
49,-3.692054519888188e-07,-0.02855326235294342,9297,9554,257
50,0.0,0.0,6690,8351,1661
51,0.0,0.0,6691,8304,1613
52,0.0,0.0,6692,8302,1610
53,0.0,0.0,6693,8316,1623
54,-9.335377626484842e-07,-0.05711401253938675,9506,9801,295
55,0.0,0.0,6694,8317,1623
56,0.0,0.0,6695,8327,1632
57,0.0,0.0,6687,8404,1717
58,-3.2798203619677224e-07,-0.028549691662192345,9254,9508,254
59,0.0,0.0,6697,8408,1711
60,-3.5274020774522796e-05,-0.10419241338968277,9894,9917,23
61,0.0,0.0,6698,8411,1713
62,0.0,0.0,6699,8396,1697
63,0.0,0.0,6700,8413,1713
64,0.0,0.0,6701,8380,1679
65,0.0,0.0,6702,8378,1676
66,0.00014031919999979436,0.2578485906124115,187,1128,941
67,0.0,0.0,6703,8281,1578
