rank,feature_id,score
1,5107,-0.0028051468543708324
2,5634,-0.002088914392516017
3,1469,-0.0019046772504225373
4,6084,-0.0018043469171971083
5,5723,-0.0016735326498746872
6,3359,-0.0016035418957471848
7,2218,-0.0014547171304002404
8,7119,-0.0011383623350411654
9,9594,-0.001124367699958384
10,2761,-0.0011217951541766524
11,3617,-0.000991949113085866
12,2483,-0.0009825483430176973
13,2933,-0.0009664177196100354
14,5323,-0.0009620031341910362
15,7677,-0.0009465177427046001
16,8866,-0.0009021673467941582
17,172,-0.0008329929551109672
18,1842,-0.0008110626367852092
19,2422,-0.0007885884260758758
20,3117,-0.0007865941151976585
