rank,feature_id,score
1,1469,-0.7229040861129761
2,3359,-0.6297145485877991
3,5634,-0.6247979402542114
4,5107,-0.6008102297782898
5,9008,-0.5335225462913513
6,2483,-0.5281623601913452
7,1249,-0.49131831526756287
8,1814,-0.44572553038597107
9,4668,-0.43832653760910034
10,9988,-0.43678179383277893
11,2761,-0.4308372139930725
12,6890,-0.41491684317588806
13,7119,-0.4128497242927551
14,7074,-0.4069715142250061
15,8541,-0.3978255093097687
16,5023,-0.39642131328582764
17,1970,-0.39536911249160767
18,7195,-0.3884877562522888
19,5723,-0.388111412525177
20,3559,-0.3863585591316223
