rank,feature_id,score
1,5723,-0.0031359675340354443
2,6491,-0.0029069450683891773
3,8866,-0.0026372489519417286
4,5107,-0.0024000415578484535
5,6084,-0.002314064186066389
6,6396,-0.0022040761541575193
7,1469,-0.0019740331918001175
8,2933,-0.001963724847882986
9,3617,-0.0019049292895942926
10,9594,-0.0018918898422271013
11,8254,-0.0018818832468241453
12,9724,-0.0016817928990349174
13,3877,-0.0016727857291698456
14,2753,-0.0015764907002449036
15,2410,-0.0014529757900163531
16,1798,-0.0014406871050596237
17,5634,-0.0014159487327560782
18,9213,-0.0013770381920039654
19,9230,-0.0012822933495044708
20,3117,-0.0012423425214365125
