rank,feature_id,score
1,8254,-1.1056702136993408
2,1469,-0.8160513043403625
3,9724,-0.7482906579971313
4,5634,-0.7265341281890869
5,5107,-0.6517626047134399
6,6084,-0.6394014954566956
7,6491,-0.6289079785346985
8,3617,-0.6259090304374695
9,9213,-0.6243423223495483
10,5723,-0.6034919023513794
11,3877,-0.5996269583702087
12,8866,-0.5945798754692078
13,6594,-0.5873226523399353
14,6779,-0.5478916764259338
15,6396,-0.5475912094116211
16,3359,-0.5370665192604065
17,2933,-0.5183311700820923
18,2753,-0.5068846344947815
19,2850,-0.5062552094459534
20,3117,-0.5011793375015259
