feature_id,taris_score,saeuron_score,taris_rank,saeuron_rank,rank_delta_saeuron_minus_taris
0,0.0,0.0,8883,9029,146
1,0.0,0.0,7074,7106,32
2,0.0,0.0,7075,7107,32
3,0.0005719619221054018,1.0158112049102783,167,1408,1241
4,0.0,0.0,7076,7108,32
5,0.0,0.0,7077,7109,32
6,0.0,0.0,7078,7110,32
7,0.0,0.0,7079,7111,32
8,0.0,0.0,7080,7112,32
9,0.0,0.0,7081,7113,32
10,0.0,0.0,7073,7105,32
11,0.0,0.0,7083,7115,32
12,0.0,0.0,7084,7116,32
13,0.0,0.0,7085,7117,32
14,0.0,0.0,7086,7118,32
15,0.0,0.0,7087,7119,32
16,0.00012066438648616895,0.44444218277931213,454,1523,1069
17,0.0,0.0,7088,7120,32
18,6.523261254187673e-05,325.9566955566406,594,1019,425
19,0.0,0.0,7089,7121,32
20,0.0,0.0,7090,7122,32
21,0.0,0.0,7064,7096,32
22,0.0,0.0,7055,7087,32
23,0.0,0.0,7056,7088,32
24,0.0,0.0,7057,7089,32
25,0.0,0.0,7058,7090,32
26,2.964205305033829e-05,0.11271154880523682,756,1642,886
27,0.0,0.0,7059,7091,32
28,0.0,0.0,7060,7092,32
29,0.0,0.0,7061,7093,32
30,0.0,0.0,7062,7094,32
31,4.210589031572454e-05,0.27264025807380676,680,1586,906
32,0.0,0.0,7063,7095,32
33,0.0,0.0,7054,7086,32
34,0.0,0.0,7065,7097,32
35,1.2965632777195424e-05,1296.984619140625,952,446,-506
36,0.0,0.0,7066,7098,32
37,0.0,0.0,7067,7099,32
38,0.0,0.0,7068,7100,32
39,0.0,0.0,7069,7101,32
40,0.0,0.0,7070,7102,32
41,0.0,0.0,7071,7103,32
42,0.0,0.0,7072,7104,32
43,0.0,0.0,7082,7114,32
44,0.0,0.0,7110,7142,32
45,1.4196278243616689e-05,0.12125320732593536,935,1639,704
46,0.0,0.0,7111,7143,32
47,0.0,0.0,7112,7144,32
48,0.0,0.0,7113,7145,32
49,0.0,0.0,7114,7146,32
50,0.0,0.0,7115,7147,32
51,0.0,0.0,7116,7148,32
52,0.0,0.0,7117,7149,32
53,0.0,0.0,7109,7141,32
54,4.583641384670045e-06,559.99755859375,1214,807,-407
55,0.0,0.0,7119,7151,32
56,0.0,0.0,7120,7152,32
57,0.0,0.0,7121,7153,32
58,0.0,0.0,7122,7154,32
59,0.0,0.0,7123,7155,32
60,-3.365617885719985e-05,273.71978759765625,10205,1245,-8960
61,0.0,0.0,7124,7156,32
62,0.0,0.0,7125,7157,32
63,0.0,0.0,7126,7158,32
64,0.0,0.0,7100,7132,32
65,0.0,0.0,7092,7124,32
66,0.00017015454068314284,0.03229224681854248,383,1673,1290
67,0.0,0.0,7093,7125,32
68,0.0,0.0,7094,7126,32
69,0.0,0.0,7095,7127,32
70,0.0,0.0,7096,7128,32
71,0.0,0.0,7097,7129,32
72,0.0,0.0,7098,7130,32
73,0.0,0.0,7099,7131,32
74,0.0,0.0,7091,7123,32
75,0.0,0.0,7101,7133,32
76,0.0,0.0,7102,7134,32
77,0.0,0.0,7103,7135,32
78,0.0,0.0,7104,7136,32
79,0.0,0.0,7105,7137,32
80,3.0580944439861923e-05,727.7820434570312,750,659,-91
81,0.0,0.0,7106,7138,32
82,0.0,0.0,7107,7139,32
83,0.0,0.0,7108,7140,32
84,0.0,0.0,7045,7077,32
85,0.0,0.0,7001,7033,32
86,0.0,0.0,7002,7034,32
87,4.64038057543803e-05,983.5095825195312,665,547,-118
88,0.0,0.0,7003,7035,32
89,0.0,0.0,7004,7036,32
90,0.0,0.0,7005,7037,32
91,0.0,0.0,7006,7038,32
92,0.0,0.0,7007,7039,32
93,0.0,0.0,7008,7040,32
94,0.0,0.0,7000,7032,32
95,0.0,0.0,7010,7042,32
96,0.0,0.0,7011,7043,32
97,0.0,0.0,7012,7044,32
98,0.0,0.0,7013,7045,32
99,0.0,0.0,7014,7046,32
100,0.00031839736038818955,3835.978515625,267,104,-163
101,8.869726298144087e-05,303.8863220214844,520,1132,612
102,0.0,0.0,7015,7047,32
103,0.0,0.0,7016,7048,32
104,0.0,0.0,7017,7049,32
105,0.0,0.0,6991,7023,32
106,7.3643686846480705e-06,913.8093872070312,1098,581,-517
107,0.0,0.0,6982,7014,32
108,0.0,0.0,6983,7015,32
109,0.0,0.0,6984,7016,32
110,0.0,0.0,6985,7017,32
111,0.0,0.0,6986,7018,32
112,0.0,0.0,6987,7019,32
113,0.0,0.0,6988,7020,32
114,0.0,0.0,6989,7021,32
115,0.0,0.0,6990,7022,32
116,0.0,0.0,6981,7013,32
117,0.0,0.0,6992,7024,32
118,0.0,0.0,6993,7025,32
119,0.0,0.0,6994,7026,32
120,4.132179128646385e-06,957.9993896484375,1228,564,-664
121,0.0,0.0,6995,7027,32
122,0.0,0.0,6996,7028,32
123,0.0,0.0,6997,7029,32
124,0.0,0.0,6998,7030,32
