feature_id,taris_score,saeuron_score,taris_rank,saeuron_rank,rank_delta_saeuron_minus_taris
0,0.0,0.0,8911,8331,-580
1,0.0,0.0,6706,6783,77
2,0.0,0.0,6707,6784,77
3,0.0005719619221054018,1.0158112049102783,55,629,574
4,0.0,0.0,6708,6785,77
5,0.0,0.0,6709,6786,77
6,0.0,0.0,6710,6787,77
7,0.0,0.0,6711,6788,77
8,0.0,0.0,6712,6789,77
9,0.0,0.0,6713,6790,77
10,0.0,0.0,6705,6782,77
11,0.0,0.0,6715,6792,77
12,0.0,0.0,6716,6793,77
13,0.0,0.0,6717,6794,77
14,0.0,0.0,6718,6795,77
15,0.0,0.0,6719,6796,77
16,-0.0006066289497539401,-0.3855285048484802,10190,10154,-36
17,0.0,0.0,6720,6797,77
18,-7.964016549522057e-05,-0.3979927897453308,10011,10164,153
19,0.0,0.0,6721,6798,77
20,0.0,0.0,6722,6799,77
21,0.0,0.0,6696,6773,77
22,0.0,0.0,6687,6764,77
23,0.0,0.0,6688,6765,77
24,0.0,0.0,6689,6766,77
25,0.0,0.0,6690,6767,77
26,-0.00022001405886840075,-0.5107625722885132,10115,10196,81
27,0.0,0.0,6691,6768,77
28,0.0,0.0,6692,6769,77
29,0.0,0.0,6693,6770,77
30,0.0,0.0,6694,6771,77
31,-3.358327012392692e-05,-0.11621417850255966,9924,9924,0
32,0.0,0.0,6695,6772,77
33,0.0,0.0,6686,6763,77
34,0.0,0.0,6697,6774,77
35,1.2965632777195424e-05,1296.984619140625,485,159,-326
36,0.0,0.0,6698,6775,77
37,0.0,0.0,6699,6776,77
38,0.0,0.0,6700,6777,77
39,0.0,0.0,6701,6778,77
40,0.0,0.0,6702,6779,77
41,0.0,0.0,6703,6780,77
42,0.0,0.0,6704,6781,77
43,0.0,0.0,6714,6791,77
44,0.0,0.0,6743,6820,77
45,1.4196278243616689e-05,0.12125320732593536,469,844,375
46,0.0,0.0,6744,6821,77
47,0.0,0.0,6745,6822,77
48,0.0,0.0,6746,6823,77
49,0.0,0.0,6747,6824,77
50,0.0,0.0,6748,6825,77
51,0.0,0.0,6749,6826,77
52,0.0,0.0,6750,6827,77
53,0.0,0.0,6742,6819,77
54,0.0,0.0,6752,6829,77
55,0.0,0.0,6753,6830,77
56,0.0,0.0,6754,6831,77
57,0.0,0.0,6755,6832,77
58,0.0,0.0,6756,6833,77
59,0.0,0.0,6757,6834,77
60,-8.888250886229798e-05,-0.1583288162946701,10022,9980,-42
61,0.0,0.0,6758,6835,77
62,0.0,0.0,6759,6836,77
63,0.0,0.0,6733,6810,77
64,0.0,0.0,6724,6801,77
65,0.0,0.0,6725,6802,77
66,-0.0004554162733256817,-0.21232867240905762,10171,10027,-144
67,0.0,0.0,6726,6803,77
68,0.0,0.0,6727,6804,77
69,0.0,0.0,6728,6805,77
70,0.0,0.0,6729,6806,77
71,0.0,0.0,6730,6807,77
72,0.0,0.0,6731,6808,77
73,0.0,0.0,6732,6809,77
74,0.0,0.0,6723,6800,77
75,0.0,0.0,6734,6811,77
76,0.0,0.0,6735,6812,77
77,0.0,0.0,6736,6813,77
78,0.0,0.0,6737,6814,77
79,0.0,0.0,6738,6815,77
80,7.269236903084675e-06,0.15796718001365662,554,825,271
81,0.0,0.0,6739,6816,77
82,0.0,0.0,6740,6817,77
83,0.0,0.0,6741,6818,77
84,0.0,0.0,6677,6754,77
85,0.0,0.0,6632,6709,77
86,0.0,0.0,6633,6710,77
87,-2.7700694772647694e-05,-0.1300675868988037,9906,9933,27
88,0.0,0.0,6634,6711,77
89,0.0,0.0,6635,6712,77
90,0.0,0.0,6636,6713,77
91,0.0,0.0,6637,6714,77
92,0.0,0.0,6638,6715,77
93,0.0,0.0,6639,6716,77
94,0.0,0.0,6631,6708,77
95,0.0,0.0,6641,6718,77
96,0.0,0.0,6642,6719,77
97,0.0,0.0,6643,6720,77
98,0.0,0.0,6644,6721,77
99,0.0,0.0,6645,6722,77
100,0.00031839736038818955,3835.978515625,107,47,-60
101,1.8880808056565e-05,0.40312790870666504,439,734,295
102,0.0,0.0,6646,6723,77
103,0.0,0.0,6647,6724,77
104,0.0,0.0,6648,6725,77
105,0.0,0.0,6622,6699,77
106,2.8522915727080544e-06,337.79144287109375,647,371,-276
107,0.0,0.0,6613,6690,77
108,0.0,0.0,6614,6691,77
109,0.0,0.0,6615,6692,77
110,0.0,0.0,6616,6693,77
111,0.0,0.0,6617,6694,77
112,0.0,0.0,6618,6695,77
113,0.0,0.0,6619,6696,77
114,0.0,0.0,6620,6697,77
115,0.0,0.0,6621,6698,77
116,0.0,0.0,6612,6689,77
117,0.0,0.0,6623,6700,77
118,0.0,0.0,6624,6701,77
119,0.0,0.0,6625,6702,77
120,-1.4469484085566364e-05,-0.15116560459136963,9853,9973,120
121,0.0,0.0,6626,6703,77
122,0.0,0.0,6627,6704,77
123,0.0,0.0,6628,6705,77
124,0.0,0.0,6629,6706,77
125,0.0,0.0,6630,6707,77
126,0.0,0.0,6640,6717,77
127,0.0,0.0,6669,6746,77
128,0.0,0.0,6670,6747,77
129,0.0,0.0,6671,6748,77
130,0.0,0.0,6672,6749,77
131,2.609765942906961e-06,308.79974365234375,682,445,-237
132,0.0,0.0,6673,6750,77
133,0.0,0.0,6674,6751,77
134,0.0,0.0,6675,6752,77
135,0.0,0.0,6676,6753,77
136,0.0,0.0,6668,6745,77
137,0.0,0.0,6678,6755,77
138,0.0,0.0,6679,6756,77
139,0.0,0.0,6680,6757,77
140,0.0,0.0,6681,6758,77
141,0.0,0.0,6682,6759,77
142,0.0,0.0,6683,6760,77
143,0.0,0.0,6684,6761,77
144,0.0,0.0,6685,6762,77
145,0.0,0.0,6659,6736,77
146,0.0,0.0,6650,6727,77
147,0.0,0.0,6651,6728,77
148,0.0,0.0,6652,6729,77
149,0.0,0.0,6653,6730,77
150,-0.0001489513088017702,-0.32984182238578796,10081,10119,38
151,0.0,0.0,6654,6731,77
152,0.0,0.0,6655,6732,77
153,0.0,0.0,6656,6733,77
154,0.0,0.0,6657,6734,77
155,0.0,0.0,6658,6735,77
156,0.0,0.0,6649,6726,77
157,0.0,0.0,6660,6737,77
158,0.0,0.0,6661,6738,77
159,0.00020303027122281492,0.5701464414596558,156,687,531
160,0.0,0.0,6662,6739,77
161,0.0,0.0,6663,6740,77
162,0.0,0.0,6664,6741,77
163,0.0,0.0,6665,6742,77
164,0.0,0.0,6666,6743,77
165,0.0,0.0,6667,6744,77
166,0.0,0.0,6751,6828,77
167,0.0,0.0,6854,6931,77
168,0.0,0.0,6855,6932,77
169,0.0,0.0,6856,6933,77
170,0.0,0.0,6857,6934,77
171,0.0,0.0,6858,6935,77
172,0.0009273408213630319,0.28258293867111206,32,780,748
173,0.0,0.0,6859,6936,77
174,0.0,0.0,6860,6937,77
175,0.0,0.0,6861,6938,77
176,0.0,0.0,6853,6930,77
177,0.0,0.0,6863,6940,77
178,0.0,0.0,6864,6941,77
179,0.0,0.0,6865,6942,77
180,0.0,0.0,6866,6943,77
181,0.0,0.0,6867,6944,77
182,0.0,0.0,6868,6945,77
183,0.0,0.0,6869,6946,77
184,0.0,0.0,6870,6947,77
185,0.0,0.0,6844,6921,77
186,0.0,0.0,6835,6912,77
187,0.0,0.0,6836,6913,77
188,0.0,0.0,6837,6914,77
189,0.0,0.0,6838,6915,77
190,0.0,0.0,6839,6916,77
191,0.0002001940447371453,0.9101839065551758,157,639,482
192,0.0,0.0,6840,6917,77
193,0.0,0.0,6841,6918,77
194,0.0,0.0,6842,6919,77
195,0.0,0.0,6843,6920,77
196,-4.388155502965674e-05,0.7837088704109192,9962,650,-9312
197,0.0,0.0,6834,6911,77
198,0.0,0.0,6845,6922,77
199,0.0,0.0,6846,6923,77
200,0.0,0.0,6847,6924,77
201,-2.6029953005490825e-05,973.8309326171875,9900,205,-9695
202,0.0,0.0,6848,6925,77
203,0.0,0.0,6849,6926,77
204,0.0,0.0,6850,6927,77
205,0.0,0.0,6851,6928,77
206,0.0,0.0,6852,6929,77
207,0.0,0.0,6862,6939,77
208,0.0,0.0,6891,6968,77
209,-5.711052835977171e-06,-0.11366073042154312,9751,9917,166
210,-2.8829931579821277e-06,-0.07557614147663116,9681,9837,156
211,0.0,0.0,6892,6969,77
212,0.0,0.0,6893,6970,77
213,0.0,0.0,6894,6971,77
214,0.0,0.0,6895,6972,77
215,0.0015310950111597776,2.249161958694458,9,570,561
216,0.0,0.0,6896,6973,77
217,0.0,0.0,6897,6974,77
218,0.0,0.0,6898,6975,77
219,0.0,0.0,6890,6967,77
220,0.0,0.0,6900,6977,77
221,-0.0003778440586756915,-0.3849753141403198,10157,10153,-4
222,0.0,0.0,6901,6978,77
223,-0.0001090288715204224,-0.2777858078479767,10049,10084,35
224,0.0,0.0,6902,6979,77
225,0.0,0.0,6903,6980,77
226,0.0,0.0,6904,6981,77
227,0.0,0.0,6905,6982,77
228,0.0,0.0,6906,6983,77
229,0.0,0.0,6907,6984,77
230,0.0,0.0,6881,6958,77
231,0.0,0.0,6872,6949,77
232,0.0,0.0,6873,6950,77
233,0.0,0.0,6874,6951,77
234,0.0,0.0,6875,6952,77
235,0.0,0.0,6876,6953,77
236,0.0,0.0,6877,6954,77
237,0.0,0.0,6878,6955,77
238,0.0,0.0,6879,6956,77
239,1.644549411139451e-05,1037.038330078125,453,193,-260
240,0.0,0.0,6880,6957,77
241,0.0,0.0,6871,6948,77
242,0.0,0.0,6882,6959,77
243,0.0,0.0,6883,6960,77
244,-5.345063982531428e-06,-0.15114983916282654,9739,9959,220
245,0.0,0.0,6884,6961,77
246,0.0,0.0,6885,6962,77
247,0.0,0.0,6886,6963,77
248,0.0,0.0,6887,6964,77
249,5.627475184155628e-05,4078.819580078125,307,45,-262
250,0.0,0.0,6888,6965,77
251,0.0,0.0,6889,6966,77
252,0.0,0.0,6825,6902,77
253,-2.0306065380282234e-06,-0.07556923478841782,9583,9758,175
254,0.0,0.0,6780,6857,77
255,0.0,0.0,6781,6858,77
256,0.0,0.0,6782,6859,77
257,0.0,0.0,6783,6860,77
258,0.0,0.0,6784,6861,77
259,4.809186066268012e-05,6149.41650390625,326,26,-300
260,0.0,0.0,6785,6862,77
261,0.0,0.0,6786,6863,77
262,0.0,0.0,6787,6864,77
263,0.0,0.0,6779,6856,77
264,0.0,0.0,6789,6866,77
265,1.2593131032190286e-05,1508.5220947265625,487,139,-348
266,0.0,0.0,6790,6867,77
267,0.0,0.0,6791,6868,77
268,0.0,0.0,6792,6869,77
269,0.0,0.0,6793,6870,77
270,-8.015163984964602e-06,325.69744873046875,9783,399,-9384
271,0.000981353921815753,1.6294447183609009,26,589,563
272,-2.47001162279048e-06,-0.07557432353496552,9620,9796,176
273,0.0,0.0,6794,6871,77
274,0.0,0.0,6795,6872,77
275,0.0,0.0,6796,6873,77
276,0.0,0.0,6770,6847,77
277,0.0,0.0,6761,6838,77
278,1.0322555681341328e-05,0.22300703823566437,511,797,286
279,0.0,0.0,6762,6839,77
280,-5.0297130655962974e-05,0.01747223176062107,9973,910,-9063
281,5.243733539828099e-06,625.6103515625,587,275,-312
282,0.0,0.0,6763,6840,77
283,0.0,0.0,6764,6841,77
284,0.0,0.0,6765,6842,77
285,-2.6308994165447075e-06,-0.07557545602321625,9647,9816,169
286,0.0,0.0,6766,6843,77
287,-6.603969723073533e-06,255.6880340576172,9765,538,-9227
288,0.0,0.0,6767,6844,77
289,0.0,0.0,6768,6845,77
290,0.0,0.0,6769,6846,77
291,2.638645810293383e-06,307.464599609375,675,448,-227
292,0.0,0.0,6760,6837,77
293,0.0,0.0,6771,6848,77
294,0.0,0.0,6772,6849,77
295,0.0,0.0,6773,6850,77
296,-5.2705152484122664e-05,-0.16196143627166748,9980,9984,4
297,0.00017797225154936314,0.1257483810186386,165,842,677
298,-5.388916633819463e-06,-0.1157948225736618,9740,9922,182
299,0.0,0.0,6774,6851,77
300,0.0,0.0,6775,6852,77
301,0.0,0.0,6776,6853,77
302,0.0,0.0,6777,6854,77
303,-2.9055665891064564e-06,-0.07557626813650131,9686,9839,153
304,0.0,0.0,6778,6855,77
305,-2.3523534764535725e-06,-0.07367825508117676,9606,9756,150
306,0.0,0.0,6788,6865,77
307,0.0,0.0,6817,6894,77
308,0.0,0.0,6818,6895,77
309,0.0,0.0,6819,6896,77
310,0.0,0.0,6820,6897,77
311,0.0,0.0,6821,6898,77
312,0.0,0.0,6822,6899,77
313,0.0,0.0,6823,6900,77
314,2.8549432045110734e-06,0.02448737993836403,646,905,259
315,0.0,0.0,6824,6901,77
316,0.0,0.0,6816,6893,77
317,0.0,0.0,6826,6903,77
318,-1.157279075414408e-05,-0.14707086980342865,9824,9953,129
319,0.0,0.0,6827,6904,77
320,0.0,0.0,6828,6905,77
321,0.0,0.0,6829,6906,77
322,0.0,0.0,6830,6907,77
323,0.0,0.0,6831,6908,77
324,0.0002232687984360382,3.0521233081817627,145,558,413
325,0.0,0.0,6832,6909,77
326,0.0,0.0,6833,6910,77
327,0.0,0.0,6807,6884,77
328,0.0,0.0,6798,6875,77
329,0.0,0.0,6799,6876,77
330,0.0,0.0,6800,6877,77
331,0.0,0.0,6801,6878,77
332,0.0,0.0,6802,6879,77
333,0.0,0.0,6803,6880,77
334,0.0,0.0,6804,6881,77
335,-2.630697963468265e-06,-0.07557486742734909,9646,9804,158
336,-5.908590992476093e-06,-0.14500746130943298,9755,9945,190
337,0.0,0.0,6805,6882,77
338,0.0,0.0,6806,6883,77
339,0.0,0.0,6797,6874,77
340,-0.0019788388162851334,-0.3941989839076996,10232,10161,-71
341,0.0,0.0,6808,6885,77
342,0.0,0.0,6809,6886,77
343,0.0,0.0,6810,6887,77
344,0.0,0.0,6811,6888,77
345,0.0,0.0,6812,6889,77
346,0.0,0.0,6813,6890,77
347,7.34821951482445e-05,1.027846097946167,262,627,365
348,0.0,0.0,6814,6891,77
349,0.0,0.0,6815,6892,77
350,0.0,0.0,6603,6680,77
351,0.0,0.0,6410,6487,77
352,0.0,0.0,6411,6488,77
353,0.0,0.0,6412,6489,77
354,0.0,0.0,6413,6490,77
355,7.582746911793947e-05,856.6326293945312,258,223,-35
356,-0.00030422877171076834,-0.3314366936683655,10144,10122,-22
357,0.0,0.0,6414,6491,77
358,0.0,0.0,6415,6492,77
359,0.0,0.0,6416,6493,77
360,0.0,0.0,6417,6494,77
361,0.0,0.0,6409,6486,77
362,0.0,0.0,6419,6496,77
363,0.0,0.0,6420,6497,77
364,0.0,0.0,6421,6498,77
365,0.0,0.0,6422,6499,77
366,0.0005910292966291308,0.7453963756561279,52,655,603
367,0.0,0.0,6423,6500,77
368,0.0,0.0,6424,6501,77
369,0.0,0.0,6425,6502,77
370,0.0,0.0,6426,6503,77
371,0.0,0.0,6400,6477,77
372,0.0,0.0,6391,6468,77
373,0.0,0.0,6392,6469,77
374,0.0,0.0,6393,6470,77
375,-3.277802170487121e-05,-0.24108128249645233,9921,10055,134
376,0.0,0.0,6394,6471,77
377,0.0,0.0,6395,6472,77
378,0.0,0.0,6396,6473,77
379,0.0,0.0,6397,6474,77
380,0.0,0.0,6398,6475,77
381,0.0,0.0,6399,6476,77
382,0.0,0.0,6390,6467,77
383,0.0,0.0,6401,6478,77
384,0.0,0.0,6402,6479,77
385,0.0,0.0,6403,6480,77
386,0.0,0.0,6404,6481,77
387,0.0,0.0,6405,6482,77
388,0.0,0.0,6406,6483,77
389,0.0,0.0,6407,6484,77
390,-6.44872197881341e-05,-0.26908835768699646,9995,10078,83
391,7.751771772745997e-05,1602.6600341796875,254,133,-121
392,0.0,0.0,6408,6485,77
393,0.0,0.0,6418,6495,77
394,0.0,0.0,6447,6524,77
395,0.0,0.0,6448,6525,77
396,0.0,0.0,6449,6526,77
397,0.0,0.0,6450,6527,77
398,0.0,0.0,6451,6528,77
399,0.0,0.0,6452,6529,77
400,0.0,0.0,6453,6530,77
401,0.0,0.0,6454,6531,77
402,0.0,0.0,6446,6523,77
403,0.0,0.0,6456,6533,77
404,0.0,0.0,6457,6534,77
405,0.0,0.0,6458,6535,77
406,0.0,0.0,6459,6536,77
407,0.0,0.0,6460,6537,77
408,0.0,0.0,6461,6538,77
409,0.0,0.0,6462,6539,77
410,0.0,0.0,6463,6540,77
411,0.0,0.0,6437,6514,77
412,0.0,0.0,6428,6505,77
413,0.0,0.0,6429,6506,77
414,0.0,0.0,6430,6507,77
415,0.0,0.0,6431,6508,77
416,2.4961749659269117e-05,2926.637451171875,405,66,-339
417,0.0,0.0,6432,6509,77
418,4.0410559449810535e-05,1065.254638671875,343,186,-157
419,0.0,0.0,6433,6510,77
420,0.0009831745410338044,0.5504306554794312,25,693,668
421,0.0,0.0,6434,6511,77
422,-4.165816790191457e-06,-0.14838095009326935,9717,9954,237
423,1.2861726645496674e-05,313.22052001953125,486,431,-55
424,0.0,0.0,6435,6512,77
425,0.0,0.0,6436,6513,77
426,0.0,0.0,6427,6504,77
427,0.0,0.0,6438,6515,77
428,0.0,0.0,6439,6516,77
429,0.0,0.0,6440,6517,77
430,0.0,0.0,6441,6518,77
431,0.0,0.0,6442,6519,77
432,0.0,0.0,6443,6520,77
433,0.0,0.0,6444,6521,77
434,0.0,0.0,6445,6522,77
435,0.0,0.0,6381,6458,77
436,-0.00022928691760171205,-0.20783281326293945,10117,10025,-92
437,0.0,0.0,6336,6413,77
438,-1.547902138554491e-05,0.39553102850914,9860,736,-9124
439,0.0,0.0,6337,6414,77
440,0.0,0.0,6338,6415,77
441,6.017070700181648e-05,7622.4697265625,298,21,-277
442,0.0,0.0,6339,6416,77
443,-2.31315971177537e-05,-0.19183658063411713,9891,10011,120
444,0.0,0.0,6340,6417,77
445,0.0,0.0,6341,6418,77
446,0.0,0.0,6342,6419,77
447,0.0,0.0,6343,6420,77
448,0.0,0.0,6335,6412,77
449,0.0,0.0,6345,6422,77
450,-0.0002758079208433628,-0.3373684287071228,10136,10124,-12
451,0.0,0.0,6346,6423,77
452,0.0,0.0,6347,6424,77
453,0.0,0.0,6348,6425,77
454,0.0,0.0,6349,6426,77
455,0.0,0.0,6350,6427,77
456,0.0,0.0,6351,6428,77
457,0.0,0.0,6352,6429,77
458,0.0,0.0,6326,6403,77
459,-0.00025589976576156914,-0.3599163889884949,10132,10141,9
460,0.0,0.0,6317,6394,77
461,0.0,0.0,6318,6395,77
462,0.00032946266583167017,8396.171875,102,14,-88
463,0.0,0.0,6319,6396,77
