feature_id,taris_score,saeuron_score,taris_rank,saeuron_rank,rank_delta_saeuron_minus_taris
0,2.0382087313919328e-05,0.04631682112812996,626,1182,556
1,0.0,0.0,6771,6835,64
2,0.0,0.0,6772,6836,64
3,0.0,0.0,6773,6837,64
4,0.0,0.0,6774,6838,64
5,-4.5889628381701186e-05,-0.15375080704689026,9906,9982,76
6,0.0,0.0,6775,6839,64
7,-4.291153345548082e-06,-0.027878332883119583,9685,9669,-16
8,0.0,0.0,6776,6840,64
9,0.0,0.0,6777,6841,64
10,-3.5115306673105806e-05,-0.19288994371891022,9859,10039,180
11,6.286818825174123e-05,0.09574812650680542,331,1094,763
12,-4.968660505255684e-05,0.00038980841054581106,9921,1284,-8637
13,0.0002503233845345676,0.545871376991272,33,663,630
14,0.0,0.0,6778,6842,64
15,0.0,0.0,6770,6834,64
16,2.449540374982462e-07,93.5383529663086,1161,206,-955
17,0.0,0.0,6780,6844,64
18,-6.049540246522156e-08,-0.003619068767875433,9500,9608,108
19,-1.6217971278820187e-05,57.077842712402344,9773,354,-9419
20,3.3595625836824183e-07,49.43848419189453,1090,450,-640
21,0.0,0.0,6781,6845,64
22,0.0,0.0,6782,6846,64
23,0.0,0.0,6783,6847,64
24,0.0,0.0,6784,6848,64
25,0.0,0.0,6785,6849,64
26,0.0,0.0,6786,6850,64
27,0.0,0.0,6787,6851,64
28,0.0,0.0,6761,6825,64
29,0.0,0.0,6753,6817,64
30,0.0,0.0,6754,6818,64
31,-3.787938567256788e-07,-0.028556406497955322,9554,9693,139
32,0.0,0.0,6755,6819,64
33,-3.583001671358943e-06,-0.01710290089249611,9668,9649,-19
34,0.0,0.0,6756,6820,64
35,0.0,0.0,6757,6821,64
36,0.0,0.0,6758,6822,64
37,0.0,0.0,6759,6823,64
38,0.0,0.0,6760,6824,64
39,0.0,0.0,6752,6816,64
40,5.9509340644581243e-05,0.24047276377677917,350,870,520
41,0.0,0.0,6762,6826,64
42,0.0,0.0,6763,6827,64
43,0.0,0.0,6764,6828,64
44,0.0,0.0,6765,6829,64
45,0.0,0.0,6766,6830,64
46,7.313761307159439e-05,0.07146268337965012,282,1133,851
47,0.0,0.0,6767,6831,64
48,0.0,0.0,6768,6832,64
49,0.0,0.0,6769,6833,64
50,0.0,0.0,6779,6843,64
51,0.0,0.0,6807,6871,64
52,0.0,0.0,6808,6872,64
53,0.0,0.0,6809,6873,64
54,8.628999057691544e-05,0.3345131278038025,233,788,555
55,0.0,0.0,6810,6874,64
56,0.0,0.0,6811,6875,64
57,-0.00018984873895533383,-0.30174151062965393,10147,10138,-9
58,0.0,0.0,6812,6876,64
59,0.0,0.0,6813,6877,64
60,0.0,0.0,6814,6878,64
61,2.4686018150532618e-05,0.08058908581733704,577,1114,537
62,0.0,0.0,6806,6870,64
63,0.0,0.0,6816,6880,64
64,0.0,0.0,6817,6881,64
65,0.0,0.0,6818,6882,64
66,0.0,0.0,6819,6883,64
67,0.0,0.0,6820,6884,64
68,0.0,0.0,6821,6885,64
69,0.00012007499753963202,1.1033046245574951,153,561,408
70,0.0,0.0,6822,6886,64
71,0.0,0.0,6823,6887,64
72,0.00010684962762752548,0.6911919713020325,181,617,436
73,0.0,0.0,6797,6861,64
74,-0.0002546714385971427,-0.2710978388786316,10178,10118,-60
75,6.126805374151445e-07,152.01698303222656,934,134,-800
76,0.0,0.0,6789,6853,64
77,1.4547701994160889e-06,98.66880798339844,863,193,-670
78,0.0,0.0,6790,6854,64
79,0.0,0.0,6791,6855,64
80,0.0,0.0,6792,6856,64
81,0.0,0.0,6793,6857,64
82,1.1752088539651595e-05,0.23963133990764618,721,872,151
83,0.0,0.0,6794,6858,64
84,0.0,0.0,6795,6859,64
85,0.0,0.0,6796,6860,64
86,0.0,0.0,6788,6852,64
87,0.0,0.0,6798,6862,64
88,0.0,0.0,6799,6863,64
89,0.0,0.0,6800,6864,64
90,0.0,0.0,6801,6865,64
91,0.0,0.0,6802,6866,64
92,0.0,0.0,6803,6867,64
93,0.0,0.0,6804,6868,64
94,-0.00017883676628116518,-0.3659345507621765,10143,10188,45
95,0.0,0.0,6805,6869,64
96,0.0,0.0,6743,6807,64
97,-2.232824954262469e-05,-0.17959226667881012,9803,10020,217
98,0.0,0.0,6699,6763,64
99,-0.00013612817565444857,-0.3349473774433136,10100,10165,65
100,-8.969415148385451e-07,-0.015612268820405006,9631,9644,13
101,0.0,0.0,6700,6764,64
102,0.0,0.0,6701,6765,64
103,0.0,0.0,6702,6766,64
104,0.0,0.0,6703,6767,64
105,0.0,0.0,6704,6768,64
106,0.0,0.0,6705,6769,64
107,0.0,0.0,6706,6770,64
108,0.0,0.0,6698,6762,64
109,-0.0001282153243664652,-0.34791699051856995,10091,10174,83
110,0.0,0.0,6708,6772,64
111,0.0,0.0,6709,6773,64
112,-8.875328603608068e-06,89.54780578613281,9724,216,-9508
113,0.0,0.0,6710,6774,64
114,0.0,0.0,6711,6775,64
115,0.0,0.0,6712,6776,64
116,0.0,0.0,6713,6777,64
117,0.0,0.0,6714,6778,64
118,0.0,0.0,6715,6779,64
119,0.0,0.0,6689,6753,64
120,0.0,0.0,6681,6745,64
121,4.260425612301333e-06,0.11034320294857025,805,1069,264
122,0.0,0.0,6682,6746,64
123,0.0,0.0,6683,6747,64
124,0.0,0.0,6684,6748,64
125,0.0,0.0,6685,6749,64
126,0.0,0.0,6686,6750,64
127,2.9479333534254692e-06,0.3119371831417084,832,807,-25
128,6.785239293094492e-06,628.1715087890625,765,28,-737
129,2.282212153659202e-05,70.56815338134766,601,253,-348
130,0.0,0.0,6687,6751,64
131,-5.769126437371597e-05,50.282737731933594,9944,441,-9503
132,0.0,0.0,6688,6752,64
133,0.0,0.0,6680,6744,64
134,0.0,0.0,6690,6754,64
135,0.0,0.0,6691,6755,64
136,0.0,0.0,6692,6756,64
137,0.0,0.0,6693,6757,64
138,0.0,0.0,6694,6758,64
139,0.0,0.0,6695,6759,64
140,0.0,0.0,6696,6760,64
