rank,feature_id,score
1,7254,-0.6026684045791626
2,7743,-0.5805144906044006
3,7731,-0.580314040184021
4,10100,-0.5450382828712463
5,5296,-0.5303903818130493
6,8448,-0.5234546661376953
7,3487,-0.5220335125923157
8,4514,-0.5007191896438599
9,330,-0.4935891032218933
10,6635,-0.49073904752731323
11,1650,-0.4894929528236389
12,7343,-0.48686060309410095
13,5144,-0.48445311188697815
14,8779,-0.4766215682029724
15,2924,-0.4608446955680847
16,8612,-0.44205713272094727
17,724,-0.440185010433197
18,10145,-0.43864601850509644
19,10018,-0.4386271834373474
20,5202,-0.4379139840602875
