rank,feature_id,score
1,3124,-0.0017391133587807417
2,9297,-0.0010554555337876081
3,9123,-0.0010507733095437288
4,9700,-0.0008029533782973886
5,3267,-0.0006653005839325488
6,8962,-0.0006527809309773147
7,7254,-0.0006182736833579838
8,1232,-0.0006130421534180641
9,1704,-0.0005093850195407867
10,6933,-0.0005014246562495828
11,2842,-0.00046259156079031527
12,7743,-0.00045776934712193906
13,3262,-0.0004550326557364315
14,3208,-0.00043527438538149
15,10018,-0.00043369922786951065
16,6706,-0.00042934957309626043
17,8647,-0.00041173427598550916
18,9063,-0.0004093996831215918
19,5738,-0.00040604633977636695
20,6411,-0.00039746667607687414
