rank,feature_id,score
1,7144,0.0005563989980146289
2,3715,0.0005188430077396333
3,2414,0.0004964504623785615
4,9596,0.00048066378803923726
5,4427,0.00047926645493134856
6,9523,0.00046909524826332927
7,3366,0.0004353038384579122
8,1263,0.0004091013688594103
9,7274,0.00040509962127543986
10,6001,0.0004034542362205684
11,6175,0.00037387796328403056
12,2189,0.00036944140447303653
13,559,0.00035765295615419745
14,397,0.0003470735973678529
15,8443,0.0003255161573179066
16,4099,0.00031319778645411134
17,9270,0.0003131333796773106
18,1336,0.0003094793064519763
19,4255,0.00030354614136740565
20,6407,0.0003034485853277147
