rank,feature_id,score
1,7322,6517.943359375
2,7784,2960.7197265625
3,1219,2370.542724609375
4,10094,2269.393310546875
5,5100,2265.59423828125
6,10085,2182.30615234375
7,6855,2102.342041015625
8,7268,1844.9017333984375
9,8067,1758.3486328125
10,2885,1735.4801025390625
11,8517,1687.7047119140625
12,1943,1603.311767578125
13,4113,1296.5797119140625
14,1536,1179.9580078125
15,3395,1154.3538818359375
16,10060,1048.3900146484375
17,4398,999.5421752929688
18,826,965.1324462890625
19,5233,936.3765869140625
20,1727,791.1082763671875
