rank,feature_id,score
1,3124,-0.002288342919200659
2,9297,-0.0018917175475507975
3,9123,-0.0011573394294828176
4,3267,-0.0011044463608413935
5,7644,-0.0010729379719123244
6,6480,-0.0010168126318603754
7,6933,-0.0009638199699111283
8,8660,-0.0009617204777896404
9,8962,-0.000874498684424907
10,3765,-0.0008517556707374752
11,9700,-0.0008357053739018738
12,7254,-0.0008351132273674011
13,9242,-0.000779224094003439
14,6450,-0.000775131571572274
15,237,-0.000760027498472482
16,7064,-0.0007394691929221153
17,4715,-0.0007284997263923287
18,3262,-0.0007270816131494939
19,3208,-0.0007247529574669898
20,9711,-0.0006928161019459367
