rank,feature_id,score
1,6544,0.0006813247455283999
2,8074,0.000577607483137399
3,7274,0.0005717731546610594
4,2189,0.0005096941022202373
5,8474,0.0005021486431360245
6,7268,0.0004871447163168341
7,7806,0.00047790881944820285
8,8704,0.00046763865975663066
9,3256,0.0004512146988417953
10,9705,0.0004461534263100475
11,4824,0.0004436238668859005
12,846,0.0004434073925949633
13,8258,0.0004378534504212439
14,4289,0.00043556964374147356
15,467,0.00043060583993792534
16,3829,0.0004262784495949745
17,7693,0.0004260479472577572
18,7357,0.00042165472405031323
19,319,0.0004155759233981371
20,7417,0.00041278963908553123
