rank,feature_id,score
1,3846,20296.892578125
2,2867,18622.875
3,5375,10675.7578125
4,4958,7776.4814453125
5,2117,7653.8349609375
6,7163,5102.5341796875
7,5687,4952.30078125
8,6294,4934.23046875
9,4147,4385.7431640625
10,9451,4341.53173828125
11,3983,4070.977783203125
12,7392,3858.551513671875
13,9821,3661.12158203125
14,4364,3468.75048828125
15,7268,2585.069580078125
16,2682,2515.58544921875
17,128,2486.800048828125
18,9465,2413.076904296875
19,9346,2328.5927734375
20,5573,2117.1396484375
