feature_id,taris_score,saeuron_score,taris_rank,saeuron_rank,rank_delta_saeuron_minus_taris
0,-2.103066617564764e-05,0.11580634117126465,9781,814,-8967
1,0.0,0.0,6727,6782,55
2,0.0,0.0,6728,6783,55
3,0.0,0.0,6729,6784,55
4,0.0,0.0,6730,6785,55
5,-0.00023566703021060675,-0.6965397596359253,10179,10228,49
6,0.0,0.0,6731,6786,55
7,-0.00025470045511610806,-0.7261515259742737,10186,10231,45
8,0.0,0.0,6732,6787,55
9,0.0,0.0,6733,6788,55
10,-6.680854130536318e-05,-0.14113782346248627,9985,9890,-95
11,1.3903964827477466e-05,0.08219818770885468,630,857,227
12,3.3125375921372324e-05,0.15003903210163116,482,768,286
13,0.00035772332921624184,0.654207706451416,24,439,415
14,0.0,0.0,6734,6789,55
15,0.0,0.0,6726,6781,55
16,0.0,0.0,6736,6791,55
17,0.0,0.0,6737,6792,55
18,0.0,0.0,6738,6793,55
19,-4.9036221753340214e-05,-0.23716780543327332,9926,10018,92
20,0.0,0.0,6739,6794,55
21,0.0,0.0,6740,6795,55
22,0.0,0.0,6741,6796,55
23,0.0,0.0,6742,6797,55
24,0.0,0.0,6743,6798,55
25,0.0,0.0,6717,6772,55
26,0.0,0.0,6708,6763,55
27,0.0,0.0,6709,6764,55
28,0.0,0.0,6710,6765,55
29,0.0,0.0,6711,6766,55
30,0.0,0.0,6712,6767,55
31,0.0,0.0,6713,6768,55
32,0.0,0.0,6714,6769,55
33,0.00038225072785280645,1.613783597946167,20,324,304
34,0.0,0.0,6715,6770,55
35,0.0,0.0,6716,6771,55
36,0.0,0.0,6707,6762,55
37,0.0,0.0,6718,6773,55
38,0.0,0.0,6719,6774,55
39,0.0,0.0,6720,6775,55
40,-2.7954030883847736e-05,-0.1882782280445099,9818,9961,143
41,0.0,0.0,6721,6776,55
42,0.0,0.0,6722,6777,55
43,0.0,0.0,6723,6778,55
44,-2.676984649951919e-06,-0.07557888329029083,9603,9774,171
45,0.0,0.0,6724,6779,55
46,-0.00019470993720460683,-0.2629907727241516,10163,10042,-121
47,0.0,0.0,6725,6780,55
48,0.0,0.0,6735,6790,55
49,0.0,0.0,6763,6818,55
50,0.0,0.0,6764,6819,55
51,0.0,0.0,6765,6820,55
52,0.0,0.0,6766,6821,55
53,0.0,0.0,6767,6822,55
54,7.822300176485442e-06,0.09524713456630707,701,837,136
55,0.0,0.0,6768,6823,55
56,0.0,0.0,6769,6824,55
57,-0.00011467844888102263,-0.4826989769935608,10088,10198,110
58,0.0,0.0,6770,6825,55
59,0.0,0.0,6762,6817,55
