feature_id,taris_score,saeuron_score,taris_rank,saeuron_rank,rank_delta_saeuron_minus_taris
0,0.0001588035374879837,0.6592133641242981,177,336,159
1,0.0,0.0,6566,6652,86
2,0.0,0.0,6567,6653,86
3,0.0,0.0,6568,6654,86
4,0.0,0.0,6569,6655,86
5,-0.00012053756654495373,-0.21088680624961853,9987,9805,-182
6,0.0,0.0,6570,6656,86
7,-0.00011708444071700796,-0.3209311068058014,9978,9969,-9
8,0.0,0.0,6571,6657,86
9,0.0,0.0,6572,6658,86
10,0.000247184798354283,0.38103097677230835,114,446,332
11,9.315241914009675e-05,0.5596475005149841,262,369,107
12,6.204709643498063e-05,-0.06279870122671127,331,9479,9148
13,6.337981903925538e-05,0.14629843831062317,327,618,291
14,0.0,0.0,6573,6659,86
15,0.0,0.0,6565,6651,86
16,0.0,0.0,6575,6661,86
17,0.0,0.0,6576,6662,86
18,0.0,0.0,6577,6663,86
19,-1.4652387108071707e-05,-0.12185303866863251,9474,9662,188
20,0.0,0.0,6578,6664,86
21,0.0,0.0,6579,6665,86
22,0.0,0.0,6580,6666,86
23,0.0,0.0,6581,6667,86
24,0.0,0.0,6582,6668,86
25,0.0,0.0,6556,6642,86
26,0.0,0.0,6547,6633,86
27,0.0,0.0,6548,6634,86
28,0.0,0.0,6549,6635,86
29,0.0,0.0,6550,6636,86
30,0.0,0.0,6551,6637,86
31,0.0,0.0,6552,6638,86
32,0.0,0.0,6553,6639,86
33,-0.00019901632913388312,-0.22370319068431854,10133,9820,-313
34,0.0,0.0,6554,6640,86
35,0.0,0.0,6555,6641,86
36,0.0,0.0,6546,6632,86
37,0.0,0.0,6557,6643,86
38,0.0,0.0,6558,6644,86
39,0.0,0.0,6559,6645,86
40,2.9271712264744565e-05,267.8926086425781,427,215,-212
41,0.0,0.0,6560,6646,86
42,0.0,0.0,6561,6647,86
43,0.0,0.0,6562,6648,86
44,0.0,0.0,6563,6649,86
45,0.0,0.0,6564,6650,86
46,1.0054586709884461e-05,0.18570837378501892,504,583,79
47,0.0,0.0,6574,6660,86
48,0.0,0.0,6602,6688,86
49,0.0,0.0,6603,6689,86
50,0.0,0.0,6604,6690,86
51,0.0,0.0,6605,6691,86
52,0.0,0.0,6606,6692,86
53,0.0,0.0,6607,6693,86
54,-0.00014794782327953726,-0.35115164518356323,10047,10009,-38
55,0.0,0.0,6608,6694,86
56,0.0,0.0,6609,6695,86
57,-0.00010131243470823392,-0.2807570993900299,9934,9912,-22
58,0.0,0.0,6601,6687,86
59,0.0,0.0,6611,6697,86
60,0.0,0.0,6612,6698,86
61,5.0618149543879554e-05,0.1760241985321045,363,592,229
62,0.0,0.0,6613,6699,86
63,0.0,0.0,6614,6700,86
64,0.0,0.0,6615,6701,86
65,0.0,0.0,6616,6702,86
66,0.0,0.0,6617,6703,86
67,0.0,0.0,6618,6704,86
68,0.0,0.0,6592,6678,86
69,-0.00026379775954410434,-0.4664382338523865,10181,10133,-48
70,0.0,0.0,6584,6670,86
71,0.0,0.0,6585,6671,86
72,0.00016207162116188556,0.8788835406303406,173,286,113
73,0.0,0.0,6586,6672,86
74,-0.00018046142940875143,508.96282958984375,10106,102,-10004
75,0.0,0.0,6587,6673,86
76,0.0,0.0,6588,6674,86
77,0.0,0.0,6589,6675,86
78,0.0,0.0,6590,6676,86
79,3.05374305753503e-06,436.4013671875,565,110,-455
80,0.0,0.0,6591,6677,86
81,0.0,0.0,6583,6669,86
82,-1.742953281791415e-05,816.1528930664062,9494,67,-9427
83,0.0,0.0,6593,6679,86
84,0.0,0.0,6594,6680,86
85,0.0,0.0,6595,6681,86
86,0.0,0.0,6596,6682,86
87,0.0,0.0,6597,6683,86
88,0.0,0.0,6598,6684,86
89,0.0,0.0,6599,6685,86
90,0.0,0.0,6600,6686,86
91,0.0,0.0,6537,6623,86
92,0.0,0.0,6493,6579,86
93,0.0,0.0,6494,6580,86
94,-8.881620306055993e-05,316.6858215332031,9895,189,-9706
95,0.0,0.0,6495,6581,86
96,0.0,0.0,6496,6582,86
97,0.00015747090219520032,0.2856441140174866,179,515,336
98,0.0,0.0,6497,6583,86
99,-1.6154324839590117e-05,-0.18801134824752808,9484,9761,277
100,-3.2251250559056643e-06,-0.0755772516131401,9354,9557,203
101,0.0,0.0,6498,6584,86
102,0.0,0.0,6499,6585,86
103,0.0,0.0,6500,6586,86
104,0.0,0.0,6492,6578,86
105,0.0,0.0,6502,6588,86
106,0.0,0.0,6503,6589,86
107,0.0,0.0,6504,6590,86
108,0.0,0.0,6505,6591,86
109,0.00045999945723451674,0.9728363156318665,46,269,223
110,0.0,0.0,6506,6592,86
111,0.0,0.0,6507,6593,86
112,-0.00015150237595662475,-0.3897725045681,10056,10061,5
113,0.0,0.0,6508,6594,86
114,0.0,0.0,6509,6595,86
115,0.0,0.0,6483,6569,86
116,0.0,0.0,6474,6560,86
117,0.0,0.0,6475,6561,86
118,0.0,0.0,6476,6562,86
119,0.0,0.0,6477,6563,86
120,0.0,0.0,6478,6564,86
121,-9.84023354249075e-05,-0.3752138912677765,9926,10038,112
122,0.0,0.0,6479,6565,86
123,0.0,0.0,6480,6566,86
124,0.0,0.0,6481,6567,86
125,0.0,0.0,6482,6568,86
126,0.0,0.0,6473,6559,86
127,0.00011635661212494597,0.4739586412906647,220,402,182
128,-3.0312501166918082e-06,-0.0755792111158371,9349,9582,233
129,-5.4368643759517e-05,-0.5723384618759155,9728,10196,468
130,0.0,0.0,6484,6570,86
131,8.416771015617996e-05,0.3892556130886078,287,443,156
132,0.0,0.0,6485,6571,86
133,0.0,0.0,6486,6572,86
134,0.0,0.0,6487,6573,86
135,0.0,0.0,6488,6574,86
136,0.0,0.0,6489,6575,86
137,0.0,0.0,6490,6576,86
138,0.0,0.0,6491,6577,86
139,0.0,0.0,6501,6587,86
140,0.0,0.0,6529,6615,86
141,0.0,0.0,6530,6616,86
142,0.0,0.0,6531,6617,86
143,0.0,0.0,6532,6618,86
144,0.0,0.0,6533,6619,86
145,0.0,0.0,6534,6620,86
146,0.0,0.0,6535,6621,86
147,0.0,0.0,6536,6622,86
148,0.0,0.0,6528,6614,86
149,0.0,0.0,6538,6624,86
150,0.0,0.0,6539,6625,86
151,0.0,0.0,6540,6626,86
152,0.0,0.0,6541,6627,86
153,0.0,0.0,6542,6628,86
154,0.0,0.0,6543,6629,86
155,0.0,0.0,6544,6630,86
156,0.0,0.0,6545,6631,86
157,0.0,0.0,6519,6605,86
158,-5.2367093303473666e-05,-0.23831972479820251,9710,9846,136
159,-1.312734093517065e-05,-0.3057410418987274,9465,9952,487
160,0.0,0.0,6511,6597,86
161,0.0,0.0,6512,6598,86
162,0.0,0.0,6513,6599,86
163,0.0,0.0,6514,6600,86
164,0.0,0.0,6515,6601,86
165,-2.293523948537768e-06,-0.07557599246501923,9287,9543,256
166,0.0,0.0,6516,6602,86
167,0.0,0.0,6517,6603,86
168,0.0,0.0,6518,6604,86
169,0.0,0.0,6510,6596,86
170,0.0,0.0,6520,6606,86
171,-8.700335456524044e-05,-0.4829441010951996,9890,10145,255
172,0.0,0.0,6521,6607,86
173,0.0,0.0,6522,6608,86
174,0.0001815715222619474,0.14283421635627747,154,622,468
175,0.0,0.0,6523,6609,86
176,0.0,0.0,6524,6610,86
177,0.0,0.0,6525,6611,86
178,-8.223907207138836e-05,-0.34725135564804077,9871,10005,134
179,-0.00015001604333519936,-0.2369798719882965,10052,9842,-210
180,0.0,0.0,6526,6612,86
181,0.0,0.0,6527,6613,86
182,0.0,0.0,6610,6696,86
183,0.0,0.0,6711,6798,87
184,0.0,0.0,6712,6799,87
185,0.0,0.0,6713,6800,87
186,0.0,0.0,6714,6801,87
187,-5.773209068138385e-06,0.008570040576159954,9394,781,-8613
188,0.0,0.0,6715,6802,87
189,0.0,0.0,6716,6803,87
190,0.0,0.0,6717,6804,87
