feature_id,taris_score,saeuron_score,taris_rank,saeuron_rank,rank_delta_saeuron_minus_taris
0,2.102021790051367e-05,0.00399251002818346,411,741,330
1,0.0,0.0,6624,6680,56
2,0.0,0.0,6625,6681,56
3,0.0,0.0,6626,6682,56
4,0.0,0.0,6627,6683,56
5,-0.0001089363795472309,-0.4655447006225586,10025,10143,118
6,0.0,0.0,6628,6684,56
7,-0.0005524152074940503,-0.2978052496910095,10232,9972,-260
8,0.0,0.0,6629,6685,56
9,0.0,0.0,6630,6686,56
10,-0.00010800394375110045,-0.27499836683273315,10023,9935,-88
11,8.199171861633658e-05,0.31126999855041504,239,472,233
12,-0.00037296433583833277,-0.42566409707069397,10219,10108,-111
13,0.00026405949029140174,0.6100006103515625,81,346,265
14,0.0,0.0,6631,6687,56
15,0.0,0.0,6623,6679,56
16,0.0,0.0,6633,6689,56
17,0.0,0.0,6634,6690,56
18,0.0,0.0,6635,6691,56
19,-2.3377748220809735e-05,342.03570556640625,9670,236,-9434
20,0.0,0.0,6636,6692,56
21,0.0,0.0,6637,6693,56
22,0.0,0.0,6638,6694,56
23,0.0,0.0,6639,6695,56
24,0.0,0.0,6640,6696,56
25,0.0,0.0,6614,6670,56
26,0.0,0.0,6605,6661,56
27,0.0,0.0,6606,6662,56
28,0.0,0.0,6607,6663,56
29,0.0,0.0,6608,6664,56
30,0.0,0.0,6609,6665,56
31,0.0,0.0,6610,6666,56
32,0.0,0.0,6611,6667,56
33,-9.021996811497957e-05,-0.29951152205467224,9982,9974,-8
34,0.0,0.0,6612,6668,56
35,0.0,0.0,6613,6669,56
36,0.0,0.0,6604,6660,56
37,0.0,0.0,6615,6671,56
38,0.0,0.0,6616,6672,56
39,0.0,0.0,6617,6673,56
40,-1.9033428543480113e-05,-0.2106693685054779,9647,9812,165
41,0.0,0.0,6618,6674,56
42,0.0,0.0,6619,6675,56
43,0.0,0.0,6620,6676,56
44,5.7657780416775495e-06,837.5167846679688,528,79,-449
45,0.0,0.0,6621,6677,56
46,-0.0001564827107358724,-0.2477502077817917,10111,9880,-231
47,0.0,0.0,6622,6678,56
48,0.0,0.0,6632,6688,56
49,0.0,0.0,6660,6716,56
50,0.0,0.0,6661,6717,56
51,0.0,0.0,6662,6718,56
52,0.0,0.0,6663,6719,56
53,0.0,0.0,6664,6720,56
54,2.2689280740451068e-05,0.0575474314391613,403,683,280
55,0.0,0.0,6665,6721,56
56,0.0,0.0,6666,6722,56
57,-0.00035832091816700995,-0.585485577583313,10217,10193,-24
58,0.0,0.0,6667,6723,56
59,0.0,0.0,6659,6715,56
60,0.0,0.0,6669,6725,56
61,-5.792595402454026e-05,-0.2651241421699524,9876,9916,40
62,0.0,0.0,6670,6726,56
