feature_id,taris_score,saeuron_score,taris_rank,saeuron_rank,rank_delta_saeuron_minus_taris
0,-0.00013675254012923688,-0.3392637073993683,10054,10149,95
1,0.0,0.0,6650,6734,84
2,0.0,0.0,6651,6735,84
3,0.0,0.0,6652,6736,84
4,0.0,0.0,6653,6737,84
5,-2.963462520710891e-06,0.03294111788272858,9490,961,-8529
6,0.0,0.0,6654,6738,84
7,0.000341939739882946,0.7226536870002747,41,422,381
8,0.0,0.0,6655,6739,84
9,0.0,0.0,6656,6740,84
10,-4.4615986553253606e-05,-0.11001358181238174,9786,9779,-7
11,-5.227923975326121e-05,-0.09096930176019669,9822,9743,-79
12,-8.293530845548958e-05,0.14182443916797638,9935,792,-9143
13,-8.939348481362686e-05,-0.12089482694864273,9959,9804,-155
14,0.0,0.0,6657,6741,84
15,0.0,0.0,6649,6733,84
16,0.0,0.0,6659,6743,84
17,0.0,0.0,6660,6744,84
18,0.0,0.0,6661,6745,84
19,4.529469606495695e-06,0.034557245671749115,659,956,297
20,0.0,0.0,6662,6746,84
21,0.0,0.0,6663,6747,84
22,0.0,0.0,6664,6748,84
23,0.0,0.0,6665,6749,84
24,0.0,0.0,6666,6750,84
25,0.0,0.0,6640,6724,84
26,0.0,0.0,6632,6716,84
27,0.0,0.0,6633,6717,84
28,0.0,0.0,6634,6718,84
29,0.0,0.0,6635,6719,84
30,0.0,0.0,6636,6720,84
31,0.0,0.0,6637,6721,84
32,0.0,0.0,6638,6722,84
33,0.00017978707910515368,0.39306414127349854,128,559,431
34,0.0,0.0,6639,6723,84
35,0.0,0.0,6631,6715,84
36,0.0,0.0,6641,6725,84
37,0.0,0.0,6642,6726,84
38,0.0,0.0,6643,6727,84
39,0.0,0.0,6644,6728,84
40,9.154727740678936e-05,100.44233703613281,269,339,70
41,0.0,0.0,6645,6729,84
42,0.0,0.0,6646,6730,84
43,0.0,0.0,6647,6731,84
44,1.1031893336621579e-06,169.677734375,742,152,-590
45,0.0,0.0,6648,6732,84
46,0.00012498567230068147,0.4507017135620117,195,525,330
47,0.0,0.0,6658,6742,84
48,0.0,0.0,6686,6770,84
49,0.0,0.0,6687,6771,84
50,0.0,0.0,6688,6772,84
51,0.0,0.0,6689,6773,84
52,0.0,0.0,6690,6774,84
53,0.0,0.0,6691,6775,84
54,-3.6701476346934214e-05,-0.194684237241745,9751,9943,192
55,0.0,0.0,6692,6776,84
56,0.0,0.0,6693,6777,84
57,-7.62903509894386e-05,-0.2757912874221802,9910,10085,175
58,0.0,0.0,6685,6769,84
59,0.0,0.0,6695,6779,84
60,0.0,0.0,6696,6780,84
61,0.00018057020497508347,0.7940772175788879,125,404,279
62,0.0,0.0,6697,6781,84
63,0.0,0.0,6698,6782,84
64,0.0,0.0,6699,6783,84
65,0.0,0.0,6700,6784,84
66,0.0,0.0,6701,6785,84
67,0.0,0.0,6702,6786,84
68,0.0,0.0,6676,6760,84
69,-2.751611464191228e-05,-0.07704391330480576,9694,9707,13
70,0.0,0.0,6668,6752,84
71,0.0,0.0,6669,6753,84
72,6.8416984504438005e-06,-0.05297589302062988,635,9653,9018
73,0.0,0.0,6670,6754,84
74,0.0001165518187917769,0.2629987895488739,211,663,452
75,0.0,0.0,6671,6755,84
76,0.0,0.0,6672,6756,84
77,0.0,0.0,6673,6757,84
78,0.0,0.0,6674,6758,84
79,0.0,0.0,6675,6759,84
80,0.0,0.0,6667,6751,84
81,0.0,0.0,6677,6761,84
82,1.5769910532981157e-05,0.43971890211105347,568,530,-38
83,0.0,0.0,6678,6762,84
84,0.0,0.0,6679,6763,84
85,0.0,0.0,6680,6764,84
86,0.0,0.0,6681,6765,84
87,0.0,0.0,6682,6766,84
88,0.0,0.0,6683,6767,84
89,0.0,0.0,6684,6768,84
90,0.0,0.0,6622,6706,84
91,0.0,0.0,6578,6662,84
92,0.0,0.0,6579,6663,84
93,0.0,0.0,6580,6664,84
94,-0.00024678331101313233,-0.47977980971336365,10170,10211,41
95,0.0,0.0,6581,6665,84
96,0.0,0.0,6582,6666,84
97,-6.53751048957929e-05,-0.15494565665721893,9876,9869,-7
98,0.0,0.0,6583,6667,84
99,6.589954864466563e-05,0.35376983880996704,346,590,244
100,6.383376103258342e-07,0.012436888180673122,865,1007,142
