rank,feature_id,score
1,5508,-0.0024798091035336256
2,5849,-0.0020504577551037073
3,10216,-0.00200775358825922
4,1353,-0.001940443878993392
5,7852,-0.0017851460725069046
6,6356,-0.0017805509269237518
7,5361,-0.001584295416250825
8,8174,-0.0015590250259265304
9,6645,-0.0015439067501574755
10,7512,-0.001428998657502234
11,276,-0.0014235308626666665
12,9072,-0.0013327280757948756
13,4333,-0.0012882135342806578
14,766,-0.0012773977359756827
15,7664,-0.001262173056602478
16,7259,-0.0012498322175815701
17,9245,-0.0012484511826187372
18,5990,-0.00123292685020715
19,2529,-0.001226839842274785
20,182,-0.0012172313872724771
