feature_id,taris_score,saeuron_score,taris_rank,saeuron_rank,rank_delta_saeuron_minus_taris
0,2.7079270239482867e-06,275.99334716796875,1492,1128,-364
1,0.0,0.0,7084,7116,32
2,4.903590161120519e-05,1121.2999267578125,786,513,-273
3,0.0,0.0,7085,7117,32
4,2.4660217604832724e-05,2612.77880859375,962,231,-731
5,0.0,0.0,7086,7118,32
6,0.0,0.0,7087,7119,32
7,2.952125896626967e-06,386.810302734375,1434,897,-537
8,0.0,0.0,7088,7120,32
9,1.8213137082057074e-05,2157.21142578125,1034,289,-745
10,0.0,0.0,7089,7121,32
11,0.0,0.0,7090,7122,32
12,0.0,0.0,7091,7123,32
13,0.0,0.0,7083,7115,32
14,0.00011149109195685014,2364.14208984375,580,263,-317
15,0.0,0.0,7093,7125,32
16,0.0,0.0,7094,7126,32
17,0.0,0.0,7095,7127,32
18,0.0,0.0,7096,7128,32
19,0.0,0.0,7097,7129,32
20,0.0,0.0,7098,7130,32
21,0.0,0.0,7099,7131,32
22,0.0,0.0,7100,7132,32
23,0.0,0.0,7074,7106,32
24,0.00017234364349860698,1.1016970872879028,443,1303,860
25,0.0,0.0,7065,7098,33
26,0.0,0.0,7066,7099,33
27,0.0,0.0,7067,7100,33
28,0.0,0.0,7068,7101,33
29,0.0,0.0,7069,7102,33
30,0.0,0.0,7070,7103,33
31,0.0,0.0,7071,7104,33
32,0.0,0.0,7072,7105,33
33,0.0,0.0,7073,7097,24
34,0.0,0.0,7064,7107,43
35,0.0,0.0,7075,7108,33
36,0.0,0.0,7076,7109,33
37,0.0,0.0,7077,7110,33
38,0.0,0.0,7078,7111,33
39,9.737013897392899e-05,10346.2666015625,622,35,-587
40,0.0,0.0,7079,7112,33
41,0.0,0.0,7080,7113,33
42,0.0,0.0,7081,7114,33
43,6.926083642611047e-06,724.4297485351562,1212,682,-530
44,0.0,0.0,7082,7124,42
45,0.0,0.0,7092,7152,60
46,0.0,0.0,7120,7153,33
47,0.0,0.0,7121,7154,33
48,0.0,0.0,7122,7155,33
49,0.0,0.0,7123,7156,33
50,-4.4752599933417514e-05,-0.0845947265625,10205,10211,6
51,0.0,0.0,7124,7157,33
52,0.0,0.0,7125,7158,33
53,0.0,0.0,7126,7159,33
54,0.0,0.0,7127,7151,24
55,0.0005156343104317784,3478.96728515625,159,162,3
56,0.0,0.0,7119,7161,42
57,0.0,0.0,7129,7162,33
58,0.0,0.0,7130,7163,33
59,0.0,0.0,7131,7164,33
60,0.0,0.0,7132,7165,33
61,0.0,0.0,7133,7166,33
62,0.0,0.0,7134,7167,33
63,0.0,0.0,7135,7168,33
64,0.00030516189872287214,615.9083251953125,287,733,446
65,0.00031742817373014987,1.4424018859863281,275,1268,993
66,0.0,0.0,7136,7142,6
67,0.00017042590479832143,352.8253479003906,449,976,527
68,2.8129623387940228e-05,417.3268127441406,921,842,-79
69,0.0,0.0,7110,7134,24
70,0.0,0.0,7102,7135,33
71,3.868913699989207e-05,4425.0654296875,847,122,-725
72,0.0,0.0,7103,7136,33
73,2.100985511788167e-05,1347.3564453125,1008,439,-569
74,0.0,0.0,7104,7137,33
75,0.0008351135184057057,1.677970290184021,82,1248,1166
76,0.0,0.0,7105,7138,33
77,0.0,0.0,7106,7139,33
78,1.1249477438468602e-06,0.06580393016338348,1606,1658,52
79,0.0,0.0,7107,7140,33
80,0.0,0.0,7108,7141,33
81,0.0,0.0,7109,7133,24
82,0.0,0.0,7101,7143,42
83,0.0,0.0,7111,7144,33
84,0.0,0.0,7112,7145,33
85,7.704179006395862e-05,6358.34619140625,683,75,-608
86,0.0,0.0,7113,7146,33
87,0.0,0.0,7114,7147,33
88,1.505461386841489e-05,1367.2928466796875,1072,434,-638
89,0.0,0.0,7115,7148,33
90,0.0,0.0,7116,7149,33
91,0.0,0.0,7117,7150,33
92,0.0,0.0,7118,7088,-30
93,0.0,0.0,7055,7044,-11
94,0.0,0.0,7011,7045,34
95,0.0,0.0,7012,7046,34
96,0.0,0.0,7013,7047,34
97,0.0,0.0,7014,7048,34
98,0.0,0.0,7015,7049,34
