rank,feature_id,score
1,2568,19919.06640625
2,8808,13787.728515625
3,10003,12217.712890625
4,10047,12123.359375
5,5572,11263.205078125
6,4841,10863.669921875
7,5713,10128.541015625
8,3571,9429.814453125
9,6447,8533.5712890625
10,4549,7450.74462890625
11,5254,7197.0361328125
12,9214,6693.1767578125
13,2165,6379.37158203125
14,4647,5911.119140625
15,1390,5903.31982421875
16,2243,5835.27099609375
17,4724,5682.56689453125
18,5903,5527.7294921875
19,8035,5269.0029296875
20,1747,4781.24951171875
