rank,feature_id,score
1,7474,0.000995527021586895
2,5065,0.00090755894780159
3,8808,0.0007870955159887671
4,8248,0.0007847786182537675
5,7183,0.0007744579343125224
6,5563,0.0007605411810800433
7,1495,0.0007578328950330615
8,2592,0.0007278037373907864
9,490,0.0006460255826823413
10,9737,0.0006390303606167436
11,3204,0.0006100056343711913
12,738,0.0006088715745136142
13,5382,0.0005882731638848782
14,3467,0.0005854461924172938
15,7305,0.0005568764172494411
16,5949,0.0005552414804697037
17,6633,0.0005508782342076302
18,3640,0.0005330465501174331
19,5307,0.0005270509864203632
20,5737,0.0005266212974675
