feature_id,taris_score,saeuron_score,taris_rank,saeuron_rank,rank_delta_saeuron_minus_taris
0,0.0,0.0,1898,8393,6495
1,0.0,0.0,6712,6768,56
2,0.0,0.0,6713,6769,56
3,0.0,0.0,6714,6770,56
4,0.0,0.0,6715,6771,56
5,0.0,0.0,6716,6772,56
6,0.0,0.0,6717,6773,56
7,0.0,0.0,6718,6774,56
8,0.0,0.0,6719,6775,56
9,0.0,0.0,6720,6776,56
10,0.0,0.0,6711,6767,56
11,0.0,0.0,6722,6778,56
12,0.0,0.0,6723,6779,56
13,4.627477665053448e-06,598.1445922851562,339,44,-295
14,0.0,0.0,6724,6780,56
15,0.0,0.0,6725,6781,56
16,0.0,0.0,6726,6782,56
17,0.0,0.0,6727,6783,56
18,0.0,0.0,6728,6784,56
19,0.0,0.0,6729,6785,56
20,0.0,0.0,6702,6758,56
21,0.0,0.0,6693,6749,56
22,0.0,0.0,6694,6750,56
23,1.0478458989382489e-06,148.773193359375,427,173,-254
24,0.0,0.0,6695,6751,56
25,0.0,0.0,6696,6752,56
26,0.0,0.0,6697,6753,56
27,0.0,0.0,6698,6754,56
28,0.0,0.0,6699,6755,56
29,0.0,0.0,6700,6756,56
30,0.0,0.0,6701,6757,56
31,0.0,0.0,6692,6748,56
32,0.0,0.0,6703,6759,56
33,0.0,0.0,6704,6760,56
34,0.0,0.0,6705,6761,56
35,0.0,0.0,6706,6762,56
36,0.0,0.0,6707,6763,56
37,0.0,0.0,6708,6764,56
38,0.0,0.0,6709,6765,56
39,0.0,0.0,6710,6766,56
40,0.0,0.0,6721,6777,56
41,0.0,0.0,6750,6806,56
42,0.0,0.0,6751,6807,56
43,0.0,0.0,6752,6808,56
44,-0.0006569222896359861,-0.1919875144958496,10218,10152,-66
45,0.0,0.0,6753,6809,56
46,0.0,0.0,6754,6810,56
47,0.0,0.0,6755,6811,56
48,0.0,0.0,6756,6812,56
49,0.0,0.0,6757,6813,56
50,0.0,0.0,6758,6814,56
51,0.0,0.0,6749,6805,56
52,0.0,0.0,6760,6816,56
53,0.0,0.0,6761,6817,56
54,0.0,0.0,6762,6818,56
55,0.0,0.0,6763,6819,56
56,0.0,0.0,6764,6820,56
57,0.0,0.0,6765,6821,56
58,0.0,0.0,6766,6822,56
59,3.131417906843126e-05,257.9136962890625,253,110,-143
60,0.0,0.0,6767,6823,56
61,0.0,0.0,6740,6796,56
62,0.0,0.0,6731,6787,56
63,0.0006530995015054941,0.3807872235774994,17,384,367
64,0.0,0.0,6732,6788,56
65,3.129610149699147e-06,421.15325927734375,357,66,-291
66,-8.055640137172304e-07,-0.045864544808864594,9720,9867,147
67,0.0,0.0,6733,6789,56
68,0.0,0.0,6734,6790,56
69,0.0,0.0,6735,6791,56
70,0.0,0.0,6736,6792,56
71,0.0,0.0,6737,6793,56
72,0.0,0.0,6738,6794,56
73,0.0,0.0,6739,6795,56
74,0.0,0.0,6730,6786,56
75,0.0,0.0,6741,6797,56
76,0.0,0.0,6742,6798,56
77,0.0,0.0,6743,6799,56
78,-4.970112058799714e-06,0.1724909245967865,9908,479,-9429
79,0.0,0.0,6744,6800,56
80,0.0,0.0,6745,6801,56
81,-0.0006506503559648991,-0.34156498312950134,10217,10228,11
