feature_id,taris_score,saeuron_score,taris_rank,saeuron_rank,rank_delta_saeuron_minus_taris
0,0.0,0.0,8469,8517,48
1,0.0,0.0,6802,6843,41
2,0.0,0.0,6803,6844,41
3,0.0,0.0,6804,6845,41
4,0.0,0.0,6805,6846,41
5,0.0,0.0,6806,6847,41
6,0.0,0.0,6807,6848,41
7,0.0,0.0,6808,6849,41
8,0.0,0.0,6809,6850,41
9,0.0,0.0,6801,6842,41
10,0.0,0.0,6811,6852,41
11,0.0,0.0,6812,6853,41
12,0.0,0.0,6813,6854,41
13,-2.4274499992316123e-06,-0.04444802924990654,9975,9996,21
14,0.0,0.0,6814,6855,41
15,0.0,0.0,6815,6856,41
16,3.4365575629635714e-07,48.858642578125,829,519,-310
17,0.0,0.0,6816,6857,41
18,0.0,0.0,6817,6858,41
19,0.0,0.0,6818,6859,41
20,0.0,0.0,6792,6833,41
21,0.0,0.0,6783,6824,41
22,0.0,0.0,6784,6825,41
23,0.0,0.0,6785,6826,41
24,0.0,0.0,6786,6827,41
25,0.0,0.0,6787,6828,41
26,0.0,0.0,6788,6829,41
27,0.0,0.0,6789,6830,41
28,0.0,0.0,6790,6831,41
29,0.0,0.0,6791,6832,41
30,0.0,0.0,6782,6823,41
31,0.0,0.0,6793,6834,41
32,0.0,0.0,6794,6835,41
33,0.0,0.0,6795,6836,41
34,0.0,0.0,6796,6837,41
35,0.0,0.0,6797,6838,41
36,0.0,0.0,6798,6839,41
37,0.0,0.0,6799,6840,41
38,0.0,0.0,6800,6841,41
39,0.0,0.0,6810,6851,41
40,0.0,0.0,6839,6880,41
41,0.0,0.0,6840,6881,41
42,0.0,0.0,6841,6882,41
43,0.0,0.0,6842,6883,41
44,-0.0005713702994398773,-0.31446918845176697,10161,10166,5
45,0.0,0.0,6843,6884,41
46,0.0,0.0,6844,6885,41
47,0.0,0.0,6845,6886,41
48,0.0,0.0,6846,6887,41
49,0.0,0.0,6838,6879,41
50,0.0,0.0,6848,6889,41
51,0.0,0.0,6849,6890,41
52,0.0,0.0,6850,6891,41
53,0.0,0.0,6851,6892,41
54,0.0,0.0,6852,6893,41
55,0.0,0.0,6853,6894,41
56,0.0,0.0,6854,6895,41
57,0.0,0.0,6855,6896,41
58,0.0,0.0,6829,6870,41
59,0.0006881644367240369,1.6387029886245728,52,643,591
60,0.0,0.0,6820,6861,41
61,0.0,0.0,6821,6862,41
62,0.0,0.0,6822,6863,41
63,-0.0007167063886299729,-0.3285903334617615,10180,10175,-5
64,0.0,0.0,6823,6864,41
65,0.0,0.0,6824,6865,41
66,3.8302817984003923e-07,50.75074005126953,787,505,-282
67,0.0,0.0,6825,6866,41
68,0.0,0.0,6826,6867,41
69,0.0,0.0,6827,6868,41
70,0.0,0.0,6828,6869,41
71,0.0,0.0,6819,6860,41
72,0.0,0.0,6830,6871,41
73,0.0,0.0,6831,6872,41
74,0.0,0.0,6832,6873,41
75,0.0,0.0,6833,6874,41
76,0.0,0.0,6834,6875,41
77,0.0,0.0,6835,6876,41
78,3.68531618732959e-05,0.03681833669543266,376,934,558
79,0.0,0.0,6836,6877,41
80,0.0,0.0,6837,6878,41
81,-0.0013719864655286074,-0.3412061631679535,10219,10179,-40
82,0.0,0.0,6773,6814,41
83,0.0,0.0,6727,6768,41
84,0.0,0.0,6728,6769,41
85,0.0,0.0,6729,6770,41
86,0.0,0.0,6730,6771,41
87,0.0,0.0,6731,6772,41
88,0.0,0.0,6732,6773,41
89,0.0,0.0,6733,6774,41
90,0.0,0.0,6734,6775,41
91,1.1715065738826524e-05,1329.1400146484375,455,74,-381
92,0.0,0.0,6735,6776,41
93,0.0,0.0,6726,6767,41
94,0.0,0.0,6737,6778,41
95,0.0007338896975852549,0.5307276248931885,45,749,704
96,0.0,0.0,6738,6779,41
97,0.0,0.0,6739,6780,41
98,0.0,0.0,6740,6781,41
99,0.0,0.0,6741,6782,41
100,0.0,0.0,6742,6783,41
101,0.0,0.0,6743,6784,41
102,0.0,0.0,6744,6785,41
103,0.0009285472333431244,515.5565795898438,27,116,89
104,0.0,0.0,6717,6758,41
105,0.00024589462555013597,68.07962799072266,165,372,207
106,0.0,0.0,6708,6749,41
107,0.0,0.0,6709,6750,41
108,0.0,0.0,6710,6751,41
109,4.4498523266156553e-07,58.95998001098633,729,426,-303
110,0.0,0.0,6711,6752,41
111,0.0,0.0,6712,6753,41
112,0.0,0.0,6713,6754,41
113,0.0,0.0,6714,6755,41
114,0.0,0.0,6715,6756,41
115,0.0,0.0,6716,6757,41
116,0.0,0.0,6707,6748,41
117,0.0,0.0,6718,6759,41
118,0.0,0.0,6719,6760,41
119,0.0,0.0,6720,6761,41
120,0.0,0.0,6721,6762,41
121,1.0122024605152546e-06,146.30126953125,606,230,-376
122,-0.0001979364751605317,-0.1494351327419281,10087,10088,1
123,0.0,0.0,6722,6763,41
124,0.0,0.0,6723,6764,41
125,0.0,0.0,6724,6765,41
126,0.0,0.0,6725,6766,41
127,0.0,0.0,6736,6777,41
128,0.0,0.0,6765,6806,41
129,0.0,0.0,6766,6807,41
130,0.0,0.0,6767,6808,41
131,0.0,0.0,6768,6809,41
132,7.556129162367142e-07,105.68235778808594,643,289,-354
133,0.0,0.0,6769,6810,41
134,0.0,0.0,6770,6811,41
135,-3.206057499482995e-07,-0.028551628813147545,9786,9870,84
136,-3.2298058272317576e-07,-0.028551775962114334,9789,9871,82
137,0.0,0.0,6771,6812,41
138,0.0,0.0,6772,6813,41
139,0.0,0.0,6764,6805,41
140,0.0,0.0,6774,6815,41
141,0.0,0.0,6775,6816,41
142,0.0,0.0,6776,6817,41
143,-2.1252948499750346e-05,-0.011748572811484337,10008,9835,-173
144,0.0,0.0,6777,6818,41
145,0.0,0.0,6778,6819,41
146,0.0,0.0,6779,6820,41
