rank,feature_id,score
1,1044,-0.8157815933227539
2,3647,-0.6706522703170776
3,7897,-0.6485382318496704
4,975,-0.6145511865615845
5,8119,-0.5936772227287292
6,5555,-0.5921461582183838
7,3089,-0.5834824442863464
8,4153,-0.5704874396324158
9,2588,-0.562121570110321
10,2735,-0.5422865748405457
11,9419,-0.5339536666870117
12,5758,-0.5298827290534973
13,1413,-0.5216889381408691
14,176,-0.520415723323822
15,8045,-0.5045445561408997
16,6563,-0.5028581619262695
17,4761,-0.5023650527000427
18,657,-0.49720853567123413
19,628,-0.4918569028377533
20,10143,-0.4778061509132385
