rank,feature_id,score
1,2966,0.003967977128922939
2,3539,0.002452937886118889
3,6848,0.0023924000561237335
4,6284,0.0020922052208334208
5,9343,0.0018202591454610229
6,10003,0.0017518559470772743
7,3760,0.0015944007318466902
8,2818,0.0015443628653883934
9,7191,0.0014829051215201616
10,9569,0.0012117227306589484
11,5010,0.001205724896863103
12,9357,0.0012006114702671766
13,7975,0.0011209473013877869
14,1495,0.0011173360981047153
15,9894,0.001050298917107284
16,490,0.0010379785671830177
17,7429,0.001020938390865922
18,600,0.0010066402610391378
19,9165,0.001005208701826632
20,8879,0.0009994927095249295
