feature_id,taris_score,saeuron_score,taris_rank,saeuron_rank,rank_delta_saeuron_minus_taris
0,0.0,0.0,8434,8413,-21
1,0.0,0.0,6776,6799,23
2,0.0,0.0,6777,6800,23
3,0.0,0.0,6778,6801,23
4,0.0,0.0,6779,6802,23
5,0.0,0.0,6780,6803,23
6,0.0,0.0,6781,6804,23
7,0.0,0.0,6782,6805,23
8,0.0,0.0,6783,6806,23
9,0.0,0.0,6784,6807,23
10,0.0,0.0,6775,6798,23
11,0.0,0.0,6786,6809,23
12,0.0,0.0,6787,6810,23
13,7.291117981367279e-06,951.3855590820312,365,56,-309
14,0.0,0.0,6788,6811,23
15,0.0,0.0,6789,6812,23
16,0.0,0.0,6790,6813,23
17,0.0,0.0,6791,6814,23
18,0.0,0.0,6792,6815,23
19,0.0,0.0,6793,6816,23
20,0.0,0.0,6766,6789,23
21,0.0,0.0,6757,6780,23
22,0.0,0.0,6758,6781,23
23,0.0,0.0,6759,6782,23
24,0.0,0.0,6760,6783,23
25,0.0,0.0,6761,6784,23
26,0.0,0.0,6762,6785,23
27,0.0,0.0,6763,6786,23
28,0.0,0.0,6764,6787,23
29,0.0,0.0,6765,6788,23
30,0.0,0.0,6756,6779,23
31,0.0,0.0,6767,6790,23
32,0.0,0.0,6768,6791,23
33,0.0,0.0,6769,6792,23
34,0.0,0.0,6770,6793,23
35,0.0,0.0,6771,6794,23
36,0.0,0.0,6772,6795,23
37,0.0,0.0,6773,6796,23
38,0.0,0.0,6774,6797,23
39,0.0,0.0,6785,6808,23
40,0.0,0.0,6814,6837,23
41,0.0,0.0,6815,6838,23
42,0.0,0.0,6816,6839,23
43,0.0,0.0,6817,6840,23
44,0.0006020887522026896,0.11918504536151886,27,472,445
45,0.0,0.0,6818,6841,23
46,0.0,0.0,6819,6842,23
47,0.0,0.0,6820,6843,23
48,0.0,0.0,6821,6844,23
49,0.0,0.0,6822,6845,23
50,0.0,0.0,6813,6836,23
51,0.0,0.0,6824,6847,23
52,0.0,0.0,6825,6848,23
53,0.0,0.0,6826,6849,23
54,0.0,0.0,6827,6850,23
55,0.0,0.0,6828,6851,23
56,0.0,0.0,6829,6852,23
57,0.0,0.0,6830,6853,23
58,0.0,0.0,6831,6854,23
59,-3.057918365811929e-05,383.54815673828125,10020,121,-9899
60,0.0,0.0,6804,6827,23
61,0.0,0.0,6795,6818,23
62,0.0,0.0,6796,6819,23
63,-0.0009599421173334122,-0.34274739027023315,10222,10160,-62
64,0.0,0.0,6797,6820,23
65,0.0,0.0,6798,6821,23
66,-3.0043299830140313e-06,-0.07557936012744904,9931,10003,72
67,0.0,0.0,6799,6822,23
68,0.0,0.0,6800,6823,23
69,0.0,0.0,6801,6824,23
70,0.0,0.0,6802,6825,23
71,0.0,0.0,6803,6826,23
72,0.0,0.0,6794,6817,23
73,0.0,0.0,6805,6828,23
74,0.0,0.0,6806,6829,23
75,0.0,0.0,6807,6830,23
76,0.0,0.0,6808,6831,23
77,0.0,0.0,6809,6832,23
78,4.2949999624397606e-05,0.20847129821777344,263,419,156
79,0.0,0.0,6810,6833,23
80,0.0,0.0,6811,6834,23
81,0.0006440578727051616,1.428124189376831,20,226,206
82,0.0,0.0,6812,6835,23
83,0.0,0.0,6747,6770,23
84,0.0,0.0,6700,6723,23
85,0.0,0.0,6701,6724,23
86,0.0,0.0,6702,6725,23
87,0.0,0.0,6703,6726,23
88,0.0,0.0,6704,6727,23
89,0.0,0.0,6705,6728,23
90,0.0,0.0,6706,6729,23
91,3.1937932362779975e-05,2287.794921875,283,22,-261
92,0.0,0.0,6707,6730,23
93,0.0,0.0,6708,6731,23
94,0.0,0.0,6699,6722,23
95,0.0005481597618199885,0.5013105869293213,37,307,270
96,0.0,0.0,6710,6733,23
97,0.0,0.0,6711,6734,23
98,0.0,0.0,6712,6735,23
99,0.0,0.0,6713,6736,23
100,0.0,0.0,6714,6737,23
101,0.0,0.0,6715,6738,23
102,0.0,0.0,6716,6739,23
103,7.74385807744693e-06,0.19798104465007782,361,426,65
104,0.0,0.0,6717,6740,23
105,-0.00017270827083848417,313.97137451171875,10107,177,-9930
106,0.0,0.0,6689,6712,23
107,0.0,0.0,6680,6703,23
108,0.0,0.0,6681,6704,23
109,0.0,0.0,6682,6705,23
110,0.0,0.0,6683,6706,23
111,0.0,0.0,6684,6707,23
112,0.0,0.0,6685,6708,23
113,0.0,0.0,6686,6709,23
114,0.0,0.0,6687,6710,23
115,0.0,0.0,6688,6711,23
116,0.0,0.0,6679,6702,23
117,0.0,0.0,6690,6713,23
118,0.0,0.0,6691,6714,23
119,0.0,0.0,6692,6715,23
120,0.0,0.0,6693,6716,23
121,0.0,0.0,6694,6717,23
122,-0.0003094013372901827,-0.2482818067073822,10144,10114,-30
123,0.0,0.0,6695,6718,23
124,0.0,0.0,6696,6719,23
125,0.0,0.0,6697,6720,23
126,0.0,0.0,6698,6721,23
127,0.0,0.0,6709,6732,23
128,0.0,0.0,6738,6761,23
129,0.0,0.0,6739,6762,23
130,0.0,0.0,6740,6763,23
131,0.0,0.0,6741,6764,23
132,0.0,0.0,6742,6765,23
133,0.0,0.0,6743,6766,23
134,0.0,0.0,6744,6767,23
135,0.0,0.0,6745,6768,23
136,0.0,0.0,6746,6769,23
137,0.0,0.0,6737,6760,23
138,0.0,0.0,6748,6771,23
139,0.0,0.0,6749,6772,23
140,0.0,0.0,6750,6773,23
141,0.0,0.0,6751,6774,23
142,0.0,0.0,6752,6775,23
143,-4.467411599762272e-06,0.09509056806564331,9947,485,-9462
144,0.0,0.0,6753,6776,23
145,0.0,0.0,6754,6777,23
146,0.0,0.0,6755,6778,23
147,0.0,0.0,6728,6751,23
148,0.0,0.0,6719,6742,23
149,0.0,0.0,6720,6743,23
150,0.0,0.0,6721,6744,23
151,0.0,0.0,6722,6745,23
152,0.0,0.0,6723,6746,23
153,0.0,0.0,6724,6747,23
154,0.0,0.0,6725,6748,23
155,-6.226336608960992e-06,-0.09927622973918915,9967,10027,60
156,0.0,0.0,6726,6749,23
157,0.0,0.0,6727,6750,23
158,0.0,0.0,6718,6741,23
159,0.0,0.0,6729,6752,23
160,0.0,0.0,6730,6753,23
161,0.0,0.0,6731,6754,23
162,0.0,0.0,6732,6755,23
163,0.0,0.0,6733,6756,23
164,0.0,0.0,6734,6757,23
165,0.0,0.0,6735,6758,23
166,0.0,0.0,6736,6759,23
167,0.0,0.0,6823,6846,23
168,0.0,0.0,6929,6952,23
169,0.0,0.0,6930,6953,23
170,0.0,0.0,6931,6954,23
171,0.0,0.0,6932,6955,23
172,0.0,0.0,6933,6956,23
173,0.0,0.0,6934,6957,23
174,-4.113170689379331e-06,-0.07558218389749527,9943,10005,62
175,0.0,0.0,6935,6958,23
176,-4.851775156566873e-05,-0.03972771763801575,10038,9931,-107
177,0.0,0.0,6936,6959,23
178,0.0,0.0,6937,6960,23
179,0.0,0.0,6928,6951,23
180,0.0,0.0,6939,6962,23
181,0.0,0.0,6940,6963,23
182,0.0,0.0,6941,6964,23
183,0.0,0.0,6942,6965,23
184,0.0,0.0,6943,6966,23
185,0.0,0.0,6944,6967,23
186,0.0,0.0,6945,6968,23
187,0.0,0.0,6946,6969,23
188,0.0,0.0,6919,6942,23
189,0.0,0.0,6910,6933,23
190,0.0,0.0,6911,6934,23
191,2.3000413875706727e-06,327.49176025390625,451,168,-283
192,0.0,0.0,6912,6935,23
193,0.0,0.0,6913,6936,23
194,0.0,0.0,6914,6937,23
195,0.0,0.0,6915,6938,23
196,0.0,0.0,6916,6939,23
197,0.0,0.0,6917,6940,23
198,0.0,0.0,6918,6941,23
199,0.0,0.0,6909,6932,23
200,0.0,0.0,6920,6943,23
201,0.0,0.0,6921,6944,23
202,0.0,0.0,6922,6945,23
203,0.0,0.0,6923,6946,23
204,0.0,0.0,6924,6947,23
205,0.0,0.0,6925,6948,23
206,0.0,0.0,6926,6949,23
207,0.0,0.0,6927,6950,23
208,0.0,0.0,6938,6961,23
209,0.0,0.0,6967,6990,23
210,0.0,0.0,6968,6991,23
211,0.0,0.0,6969,6992,23
212,0.0,0.0,6970,6993,23
213,0.0,0.0,6971,6994,23
214,0.0,0.0,6972,6995,23
215,8.361105756193865e-06,1091.00341796875,352,44,-308
216,0.0,0.0,6973,6996,23
217,0.0,0.0,6974,6997,23
218,0.0,0.0,6975,6998,23
219,9.364698598801624e-06,0.19546571373939514,343,427,84
220,0.0,0.0,6966,6989,23
221,0.0,0.0,6977,7000,23
222,0.0,0.0,6978,7001,23
223,0.0,0.0,6979,7002,23
224,0.0,0.0,6980,7003,23
225,2.436064460198395e-05,2934.73046875,297,15,-282
226,0.00015819670807104558,0.15985241532325745,167,450,283
227,0.0,0.0,6981,7004,23
228,0.0,0.0,6982,7005,23
229,0.0,0.0,6983,7006,23
230,0.0,0.0,6984,7007,23
231,0.0,0.0,6957,6980,23
232,0.0,0.0,6948,6971,23
233,0.0,0.0,6949,6972,23
234,3.1496001611230895e-05,1050.4539794921875,284,47,-237
235,0.0,0.0,6950,6973,23
236,0.0,0.0,6951,6974,23
237,0.0,0.0,6952,6975,23
238,-3.111267142230645e-05,-0.0606820210814476,10021,9941,-80
239,0.0,0.0,6953,6976,23
240,0.0,0.0,6954,6977,23
241,0.0,0.0,6955,6978,23
242,0.0,0.0,6956,6979,23
243,0.0,0.0,6947,6970,23
244,0.0,0.0,6958,6981,23
245,-5.478351340570953e-06,-0.10570484399795532,9956,10032,76
246,0.0,0.0,6959,6982,23
247,0.0,0.0,6960,6983,23
248,-0.0006834910018369555,-0.43397966027259827,10206,10188,-18
249,0.0,0.0,6961,6984,23
250,0.0,0.0,6962,6985,23
251,0.0,0.0,6963,6986,23
252,0.0,0.0,6964,6987,23
253,0.0,0.0,6965,6988,23
254,0.0,0.0,6900,6923,23
255,0.0,0.0,6853,6876,23
256,0.0,0.0,6854,6877,23
257,0.0,0.0,6855,6878,23
258,0.0,0.0,6856,6879,23
259,0.0,0.0,6857,6880,23
260,0.0,0.0,6858,6881,23
261,0.0,0.0,6859,6882,23
262,-0.00013703253353014588,-0.07013548910617828,10095,9946,-149
263,0.0,0.0,6860,6883,23
264,-0.0009354601497761905,-0.46521133184432983,10219,10201,-18
265,0.0,0.0,6861,6884,23
266,0.0,0.0,6852,6875,23
267,0.0,0.0,6863,6886,23
268,0.0,0.0,6864,6887,23
269,0.0,0.0,6865,6888,23
270,0.0,0.0,6866,6889,23
271,0.0,0.0,6867,6890,23
272,0.0,0.0,6868,6891,23
273,0.0,0.0,6869,6892,23
274,0.0,0.0,6870,6893,23
275,0.0,0.0,6842,6865,23
276,0.0,0.0,6833,6856,23
277,0.0,0.0,6834,6857,23
278,0.0,0.0,6835,6858,23
279,0.0,0.0,6836,6859,23
280,0.0,0.0,6837,6860,23
281,0.0,0.0,6838,6861,23
282,0.0,0.0,6839,6862,23
283,0.0,0.0,6840,6863,23
284,0.0,0.0,6841,6864,23
285,0.0,0.0,6832,6855,23
286,-6.1283876675588544e-06,736.6285400390625,9964,75,-9889
287,0.0,0.0,6843,6866,23
288,0.0,0.0,6844,6867,23
289,0.0,0.0,6845,6868,23
290,0.0,0.0,6846,6869,23
291,0.0,0.0,6847,6870,23
292,0.0,0.0,6848,6871,23
293,0.0,0.0,6849,6872,23
294,0.0,0.0,6850,6873,23
295,0.0,0.0,6851,6874,23
296,0.0,0.0,6862,6885,23
297,2.524434194128844e-06,358.5815734863281,435,145,-290
298,0.0,0.0,6891,6914,23
299,0.0,0.0,6892,6915,23
300,0.0,0.0,6893,6916,23
301,0.0,0.0,6894,6917,23
302,0.0,0.0,6895,6918,23
303,0.0,0.0,6896,6919,23
304,0.0,0.0,6897,6920,23
305,0.0,0.0,6898,6921,23
306,0.0,0.0,6899,6922,23
307,0.0,0.0,6890,6913,23
308,0.0,0.0,6901,6924,23
309,0.0,0.0,6902,6925,23
310,0.0,0.0,6903,6926,23
311,0.0,0.0,6904,6927,23
312,0.0,0.0,6905,6928,23
313,0.0,0.0,6906,6929,23
314,0.0,0.0,6907,6930,23
315,0.0,0.0,6908,6931,23
316,0.0,0.0,6881,6904,23
317,0.0,0.0,6872,6895,23
318,0.0,0.0,6873,6896,23
319,-2.567431465649861e-06,-0.07557706534862518,9910,9987,77
320,0.0,0.0,6874,6897,23
321,0.0,0.0,6875,6898,23
322,0.0,0.0,6876,6899,23
323,0.0,0.0,6877,6900,23
324,0.0,0.0,6878,6901,23
325,0.0,0.0,6879,6902,23
326,0.0,0.0,6880,6903,23
327,0.0,0.0,6871,6894,23
328,0.0,0.0,6882,6905,23
329,0.0,0.0,6883,6906,23
330,0.0,0.0,6884,6907,23
331,0.0,0.0,6885,6908,23
332,0.0,0.0,6886,6909,23
333,0.0,0.0,6887,6910,23
334,0.0,0.0,6888,6911,23
335,0.0,0.0,6889,6912,23
336,0.0,0.0,6670,6693,23
337,0.0,0.0,6470,6493,23
338,0.0,0.0,6471,6494,23
339,0.0,0.0,6472,6495,23
340,0.0,0.0,6473,6496,23
341,0.0,0.0,6474,6497,23
342,0.0,0.0,6475,6498,23
343,0.0,0.0,6476,6499,23
344,0.0,0.0,6477,6500,23
345,0.0,0.0,6478,6501,23
346,0.0,0.0,6469,6492,23
347,0.0,0.0,6480,6503,23
348,0.0,0.0,6481,6504,23
349,0.0,0.0,6482,6505,23
350,0.0,0.0,6483,6506,23
351,0.0,0.0,6484,6507,23
352,0.0,0.0,6485,6508,23
353,0.0,0.0,6486,6509,23
354,0.0,0.0,6487,6510,23
355,0.0,0.0,6459,6482,23
356,0.0,0.0,6450,6473,23
357,0.0,0.0,6451,6474,23
358,0.0,0.0,6452,6475,23
359,0.0,0.0,6453,6476,23
360,0.0,0.0,6454,6477,23
361,0.00031033274717628956,0.36351460218429565,108,339,231
362,0.0,0.0,6455,6478,23
363,0.0,0.0,6456,6479,23
364,0.0,0.0,6457,6480,23
365,0.0,0.0,6458,6481,23
366,0.0,0.0,6449,6472,23
367,0.0,0.0,6460,6483,23
368,0.0,0.0,6461,6484,23
369,0.0,0.0,6462,6485,23
370,0.0,0.0,6463,6486,23
371,0.0,0.0,6464,6487,23
372,0.0,0.0,6465,6488,23
373,0.0,0.0,6466,6489,23
374,0.0,0.0,6467,6490,23
375,0.0,0.0,6468,6491,23
376,0.0,0.0,6479,6502,23
377,0.0,0.0,6508,6531,23
378,0.0,0.0,6509,6532,23
379,0.0,0.0,6510,6533,23
380,0.0,0.0,6511,6534,23
381,0.0,0.0,6512,6535,23
382,0.0,0.0,6513,6536,23
383,0.0,0.0,6514,6537,23
384,4.11563269153703e-05,0.05332764983177185,265,510,245
385,0.0,0.0,6515,6538,23
386,0.0,0.0,6516,6539,23
387,0.00013833926641382277,0.20218558609485626,180,424,244
388,0.0,0.0,6507,6530,23
389,0.0,0.0,6518,6541,23
390,0.0,0.0,6519,6542,23
391,0.0,0.0,6520,6543,23
392,4.68328198621748e-06,657.6536865234375,390,87,-303
393,0.0,0.0,6521,6544,23
394,-2.931368726422079e-06,-0.07557887583971024,9926,10000,74
395,0.0,0.0,6522,6545,23
396,0.0,0.0,6523,6546,23
397,0.0,0.0,6524,6547,23
398,0.0,0.0,6525,6548,23
399,0.0,0.0,6498,6521,23
400,0.0,0.0,6489,6512,23
401,1.7069402019842528e-05,425.8285217285156,320,104,-216
402,0.0,0.0,6490,6513,23
403,0.0,0.0,6491,6514,23
404,0.0,0.0,6492,6515,23
405,0.0,0.0,6493,6516,23
406,0.0,0.0,6494,6517,23
407,0.0,0.0,6495,6518,23
408,0.0,0.0,6496,6519,23
409,0.0,0.0,6497,6520,23
410,0.0,0.0,6488,6511,23
411,0.0,0.0,6499,6522,23
412,0.0,0.0,6500,6523,23
413,0.0,0.0,6501,6524,23
414,0.0,0.0,6502,6525,23
415,2.292233375555952e-06,318.33648681640625,455,173,-282
416,0.0,0.0,6503,6526,23
417,0.0,0.0,6504,6527,23
418,0.0,0.0,6505,6528,23
419,0.0,0.0,6506,6529,23
420,0.0,0.0,6440,6463,23
421,0.0,0.0,6393,6416,23
422,0.0,0.0,6394,6417,23
423,0.0,0.0,6395,6418,23
424,0.0,0.0,6396,6419,23
425,1.4606601325795054e-05,341.7279968261719,327,159,-168
426,0.0,0.0,6397,6420,23
427,0.0,0.0,6398,6421,23
428,0.0,0.0,6399,6422,23
429,0.0,0.0,6400,6423,23
430,0.0,0.0,6401,6424,23
431,0.0,0.0,6392,6415,23
432,0.0,0.0,6403,6426,23
433,0.0,0.0,6404,6427,23
434,0.0,0.0,6405,6428,23
435,0.000144933263072744,0.11819617450237274,175,473,298
436,0.0,0.0,6406,6429,23
437,0.0,0.0,6407,6430,23
438,0.0,0.0,6408,6431,23
439,0.0,0.0,6409,6432,23
440,0.0,0.0,6410,6433,23
441,0.0,0.0,6382,6405,23
442,0.0,0.0,6373,6396,23
443,0.0,0.0,6374,6397,23
444,0.0,0.0,6375,6398,23
445,0.0,0.0,6376,6399,23
446,0.0,0.0,6377,6400,23
447,0.0,0.0,6378,6401,23
448,0.0,0.0,6379,6402,23
449,0.0,0.0,6380,6403,23
450,0.0,0.0,6381,6404,23
451,0.0,0.0,6372,6395,23
452,0.0,0.0,6383,6406,23
453,0.0,0.0,6384,6407,23
454,0.0,0.0,6385,6408,23
455,0.0,0.0,6386,6409,23
456,0.0,0.0,6387,6410,23
457,-0.00023973423230927438,302.4417419433594,10127,181,-9946
458,0.0,0.0,6388,6411,23
459,0.0,0.0,6389,6412,23
460,0.0,0.0,6390,6413,23
461,0.0,0.0,6391,6414,23
