step_idx,timestep,feature_ids,feature_scales,main_ablation_value,baseline_value,early_ablation_value,late_ablation_value
0,958,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.008500759887851927,0.008500759887851927,0.008500759887851927,0.008500759887851927
1,925,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.009112072324910514,0.009112072324910514,0.009075501887650717,0.009112072324910514
2,892,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.007292614284381216,0.007292614284381216,0.009421704892588423,0.007292614284381216
3,859,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.006729318721305333,0.006729318721305333,0.009616021209041037,0.006729318721305333
4,826,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.00656910091336016,0.00656910091336016,0.010039818533812195,0.00656910091336016
5,793,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0070164803589403135,0.0070164803589403135,0.009758652373278665,0.0070164803589403135
6,760,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.005883887321942893,0.007027918203228012,0.010448925856820779,0.007027918203228012
7,727,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.00570221473829946,0.007440916107356088,0.01079018602111148,0.007440916107356088
8,694,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.004998004476860274,0.0073625182724867955,0.010602898390828841,0.0073625182724867955
9,661,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.004602372227488161,0.007364994594183827,0.009130521722838125,0.007364994594183827
10,628,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.003962234640994211,0.00761907412970686,0.007998647322025931,0.00761907412970686
11,595,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.003557855668418597,0.007877466430628033,0.007431273814773931,0.007877466430628033
12,562,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0020173082460246405,0.008126565884765569,0.0075998226627405074,0.008126565884765569
13,529,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0011159923672678929,0.00840900866597849,0.007510453023002128,0.00840900866597849
14,496,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0014398369434189817,0.008657961798917313,0.007194411105160725,0.008657961798917313
