step_idx,timestep,feature_ids,feature_scales,main_ablation_value,baseline_value,early_ablation_value,late_ablation_value
0,958,1102,1.0,0.716796875,0.716796875,0.716796875,0.716796875
1,925,1102,1.0,1.71875,1.71875,1.60546875,1.71875
2,892,1102,1.0,1.5078125,1.5078125,1.22265625,1.5078125
3,859,1102,1.0,0.8828125,0.8828125,0.6708984375,0.8828125
4,826,1102,1.0,0.8701171875,0.8701171875,0.78466796875,0.8701171875
5,793,1102,1.0,0.9501953125,0.9501953125,0.716796875,0.9501953125
6,760,1102,1.0,1.0478515625,1.1220703125,0.63134765625,1.1220703125
7,727,1102,1.0,1.1044921875,1.0908203125,0.73046875,1.0908203125
8,694,1102,1.0,1.1806640625,1.171875,0.7802734375,1.171875
9,661,1102,1.0,1.18359375,1.201171875,0.8095703125,1.201171875
10,628,1102,1.0,1.025390625,1.15625,0.8388671875,1.15625
11,595,1102,1.0,1.064453125,1.041015625,0.8603515625,1.041015625
12,562,1102,1.0,1.15234375,0.904296875,0.931640625,0.904296875
13,529,1102,1.0,1.2275390625,0.8173828125,0.77783203125,0.8173828125
14,496,1102,1.0,1.2353515625,0.7978515625,0.7548828125,0.7978515625
15,463,1102,1.0,1.220703125,0.9111328125,0.8193359375,0.9111328125
16,430,1102,1.0,1.34765625,0.86767578125,0.82763671875,0.86767578125
17,397,1102,1.0,1.484375,0.9443359375,0.82958984375,0.9443359375
18,364,1102,1.0,1.4248046875,0.8505859375,0.8154296875,0.8505859375
19,331,1102,1.0,1.3818359375,0.89599609375,0.8408203125,0.89599609375
20,298,1102,1.0,1.2353515625,0.9365234375,0.89453125,0.9365234375
21,265,1102,1.0,1.1884765625,0.94970703125,0.92138671875,0.94970703125
22,232,1102,1.0,1.181640625,0.99755859375,0.9267578125,0.99755859375
23,199,1102,1.0,1.1982421875,1.1103515625,0.91650390625,1.1103515625
24,166,1102,1.0,1.18359375,1.1748046875,0.89013671875,1.1767578125
25,133,1102,1.0,1.18359375,1.181640625,0.833984375,1.2138671875
26,100,1102,1.0,1.140625,1.2529296875,0.81982421875,1.205078125
27,67,1102,1.0,1.1396484375,1.15625,0.791015625,1.2353515625
28,34,1102,1.0,1.0810546875,1.115234375,0.71533203125,1.08203125
29,1,1102,1.0,0.96337890625,0.8642578125,0.58203125,0.9638671875
