step_idx,timestep,feature_ids,feature_scales,main_ablation_value,baseline_value,early_ablation_value,late_ablation_value
0,958,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.008500759887851927,0.008500759887851927,0.008500759887851927,0.008500759887851927
1,925,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.009112072324910514,0.009112072324910514,0.009241606396699353,0.009112072324910514
2,892,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.007292614284381216,0.007292614284381216,0.007390615197522266,0.007292614284381216
3,859,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0066278354188398225,0.006729318721305333,0.00618151084646712,0.006729318721305333
4,826,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.006077047188384199,0.00656910091336016,0.005569642750479886,0.00656910091336016
5,793,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.006015527727718961,0.0070164803589403135,0.004937376600423704,0.0070164803589403135
6,760,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.006803280000344358,0.007027918203228012,0.005022418771744697,0.007027918203228012
7,727,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.006801655329326195,0.007440916107356088,0.005778540587165537,0.007440916107356088
8,694,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.006483274503263914,0.0073625182724867955,0.006228586816149573,0.0073625182724867955
9,661,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0064896110775691795,0.007364994594183827,0.006269679962542796,0.007364994594183827
