step_idx,timestep,feature_ids,feature_scales,main_injection_value,baseline_value,early_injection_value,late_injection_value
0,958,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.004064496365259629,0.004064496365259629,0.004064496365259629,0.004064496365259629
1,925,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.004909862921316233,0.004909862921316233,0.004892834142324887,0.004909862921316233
2,892,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.004612441112783472,0.004612441112783472,0.004753519432938447,0.004612441112783472
3,859,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.004782816317522531,0.004782816317522531,0.004992826243231718,0.004782816317522531
4,826,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.004430304658566087,0.004430304658566087,0.0044888768526121225,0.004430304658566087
5,793,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.003906527890315203,0.003906527890315203,0.004143580327649943,0.003906527890315203
6,760,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0040407934753119434,0.004103619798286218,0.004248712963971002,0.004103619798286218
7,727,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.003778929068559478,0.003987456350621699,0.003732234924370914,0.003987456350621699
8,694,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.00321875905015645,0.0035665536765208117,0.0035187551948396845,0.0035665536765208117
9,661,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0031768497762314496,0.0032204116733254295,0.003400199905101431,0.0032204116733254295
10,628,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0031992759058709908,0.0031255910561824862,0.0033292300070328906,0.0031255910561824862
11,595,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0029232608427633977,0.0027371687678794387,0.003392798777532846,0.0027371687678794387
